EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
AUDCAD,2019-07-14 20:00:00,0.91411,0.91411,0.91373,0.91373,3
AUDCAD,2019-07-14 20:01:00,0.91411,0.91411,0.91373,0.91373,2
AUDCAD,2019-07-14 20:02:00,0.91411,0.91411,0.91373,0.91402,4
AUDCAD,2019-07-14 20:05:00,0.91411,0.91425,0.91357,0.91389,8
AUDCAD,2019-07-14 20:07:00,0.91429,0.91429,0.91389,0.91389,3
AUDCAD,2019-07-14 20:08:00,0.91427,0.91427,0.91389,0.91389,5
AUDCAD,2019-07-14 20:09:00,0.91428,0.91429,0.91428,0.91429,2
AUDCAD,2019-07-14 20:13:00,0.91389,0.91389,0.91389,0.91389,1
AUDCAD,2019-07-14 20:14:00,0.91428,0.91429,0.91389,0.91389,3
AUDCAD,2019-07-14 20:15:00,0.91428,0.91429,0.91389,0.91389,3
AUDCAD,2019-07-14 20:16:00,0.91428,0.91429,0.91389,0.91389,3
AUDCAD,2019-07-14 20:17:00,0.91429,0.91429,0.91429,0.91429,1
AUDCAD,2019-07-14 20:18:00,0.91389,0.91429,0.91389,0.91389,3
AUDCAD,2019-07-14 20:20:00,0.91428,,0.91389,0.91389,3
AUDCAD,2019-07-14 20:21:00,0.91429,0.91429,0.91339,0.91339,2
AUDCAD,2019-07-14 20:22:00,0.91429,0.91429,0.91429,0.91429,1
AUDCAD,2019-07-14 20:26:00,0.91435,0.91435,0.91352,0.91399,5
AUDCAD,2019-07-14 20:27:00,0.91432,0.91432,0.91399,0.91399,2
AUDCAD,2019-07-14 20:28:00,0.91432,0.91432,0.91419,0.91432,4
AUDCAD,2019-07-14 20:30:00,0.91358,0.91436,0.91346,0.91436,6
AUDCAD,2019-07-14 20:31:00,0.91434,0.91434,0.91395,0.91395,3
AUDCAD,2019-07-14 20:32:00,0.91433,0.91433,0.91418,0.91433,4
AUDCAD,2019-07-14 20:34:00,,,,,1
AUDCAD,2019-07-14 20:35:00,0.91432,0.91432,0.91432,0.91432,1
AUDCAD,2019-07-14 20:38:00,0.91431,0.91445,0.91346,0.91422,19
AUDCAD,2019-07-14 20:39:00,0.91393,0.91393,0.91358,0.91359,3
AUDCAD,2019-07-14 20:40:00,0.91421,0.91422,0.91421,0.91422,2
AUDCAD,2019-07-14 20:41:00,0.91421,0.91421,0.91421,0.91421,1
AUDCAD,2019-07-14 20:43:00,0.91395,0.91395,0.91395,0.91395,1
AUDCAD,2019-07-14 20:44:00,0.91421,0.91421,0.91395,0.91395,2
AUDCAD,2019-07-14 20:45:00,0.91421,0.91421,0.91361,0.91389,6
AUDCAD,2019-07-14 20:46:00,0.91408,0.91408,0.91389,0.91389,2
AUDCAD,2019-07-14 20:47:00,0.91408,0.91421,0.91355,0.91408,9
AUDCAD,2019-07-14 20:48:00,0.91389,0.91409,0.91357,0.91409,5
AUDCAD,2019-07-14 20:53:00,0.91410,0.91410,0.91410,0.91410,1
AUDCAD,2019-07-14 20:54:00,0.91409,0.91409,0.91409,0.91409,1
AUDCAD,2019-07-14 20:58:00,0.91414,0.91414,0.91414,0.91414,
AUDCAD,2019-07-14 20:59:00,0.91398,0.91398,0.91394,0.91394,2
