EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
AUDEUR,2019-07-14 20:00:00,0.62224,0.62224,0.62183,0.62183,3
AUDEUR,2019-07-14 20:01:00,0.62224,0.62224,0.62183,0.62183,2
AUDEUR,2019-07-14 20:02:00,0.62225,0.62225,0.62198,0.62198,5
AUDEUR,2019-07-14 20:05:00,0.62225,0.62229,0.62183,0.62191,9
AUDEUR,2019-07-14 20:06:00,0.62229,0.62229,0.62229,0.62229,1
AUDEUR,2019-07-14 20:07:00,0.62191,0.62206,0.62191,0.62204,4
AUDEUR,2019-07-14 20:08:00,0.62229,0.62229,0.62191,0.62191,3
AUDEUR,2019-07-14 20:09:00,0.62229,0.62229,0.62206,0.62206,2
AUDEUR,2019-07-14 20:10:00,0.62229,0.62229,0.62206,0.62206,2
AUDEUR,2019-07-14 20:11:00,0.62229,0.62229,0.62206,0.62206,2
AUDEUR,2019-07-14 20:12:00,0.62229,0.62229,0.62206,0.62206,2
AUDEUR,2019-07-14 20:13:00,0.62229,0.62229,0.62191,0.62196,7
AUDEUR,2019-07-14 20:14:00,0.62229,0.62229,0.62191,0.62191,2
AUDEUR,2019-07-14 20:15:00,0.62229,0.62229,0.62191,0.62205,9
AUDEUR,2019-07-14 20:16:00,0.62226,0.62226,0.62191,0.62191,5
AUDEUR,2019-07-14 20:17:00,0.62229,0.62229,0.62206,0.62206,5
AUDEUR,2019-07-14 20:18:00,0.62229,0.62229,0.62191,0.62191,7
AUDEUR,2019-07-14 20:19:00,0.62206,0.62206,0.62191,0.62191,3
AUDEUR,2019-07-14 20:20:00,0.62229,0.62229,0.62191,0.62191,4
AUDEUR,2019-07-14 20:21:00,0.62229,0.62229,0.62188,0.62188,2
AUDEUR,2019-07-14 20:22:00,0.62229,0.62229,0.62229,0.62229,1
AUDEUR,2019-07-14 20:23:00,0.62220,0.62226,0.62206,0.62206,3
AUDEUR,2019-07-14 20:24:00,0.62229,0.62229,0.62229,0.62229,1
AUDEUR,2019-07-14 20:26:00,0.62234,0.62234,0.62196,0.62199,8
AUDEUR,2019-07-14 20:27:00,0.62231,0.62231,0.62204,0.62213,7
AUDEUR,2019-07-14 20:28:00,0.62231,0.62232,0.62223,0.62232,5
AUDEUR,2019-07-14 20:29:00,0.62225,0.62225,0.62215,0.62215,2
AUDEUR,2019-07-14 20:30:00,0.62232,0.62239,0.62188,0.62239,8
AUDEUR,2019-07-14 20:31:00,0.62237,0.62237,0.62193,0.62193,5
AUDEUR,2019-07-14 20:32:00,0.62236,0.62236,0.62229,0.62229,3
AUDEUR,2019-07-14 20:33:00,0.62236,0.62236,0.62236,0.62236,1
