EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
AUDGBP,2019-08-01 00:00:00,0.56305,0.56311,0.56297,0.56297,81
AUDGBP,2019-08-01 00:01:00,0.56298,0.56306,0.56292,0.56298,71
AUDGBP,2019-08-01 00:02:00,0.56296,0.56298,0.56285,0.56288,99
AUDGBP,2019-08-01 00:03:00,0.56289,0.56294,0.56285,0.56289,80
AUDGBP,2019-08-01 00:04:00,0.56288,0.56288,0.56282,0.56285,48
AUDGBP,2019-08-01 00:05:00,0.56286,0.56312,0.56284,0.56308,77
AUDGBP,2019-08-01 00:06:00,0.56307,0.56311,0.56298,0.56300,89
AUDGBP,2019-08-01 00:07:00,0.56299,0.56304,0.56290,0.56291,85
AUDGBP,2019-08-01 00:08:00,0.56289,0.56292,0.56273,0.56274,100
AUDGBP,2019-08-01 00:09:00,0.56273,0.56291,0.56271,0.56290,68
AUDGBP,2019-08-01 00:10:00,0.56289,0.56294,0.56275,0.56283,71
AUDGBP,2019-08-01 00:11:00,0.56285,0.56292,0.56283,0.56291,85
AUDGBP,2019-08-01 00:12:00,0.56288,0.56288,0.56275,0.56279,82
AUDGBP,2019-08-01 00:13:00,0.56280,0.56292,0.56278,0.56282,94
AUDGBP,2019-08-01 00:14:00,0.56283,0.56283,0.56275,0.56277,68
AUDGBP,2019-08-01 00:15:00,0.56276,0.56277,0.56267,0.56268,68
AUDGBP,2019-08-01 00:16:00,0.56267,0.56295,0.56267,0.56294,117
AUDGBP,2019-08-01 00:17:00,0.56293,0.56295,0.56280,0.56280,141
AUDGBP,2019-08-01 00:18:00,0.56281,0.56297,0.56281,0.56294,96
AUDGBP,2019-08-01 00:19:00,0.56293,0.56301,0.56286,0.56290,93
AUDGBP,2019-08-01 00:20:00,0.56291,0.56309,0.56290,0.56306,84
AUDGBP,2019-08-01 00:21:00,0.56305,0.56317,0.56304,0.56314,97
AUDGBP,2019-08-01 00:22:00,0.56313,0.56329,0.56309,0.56328,93
AUDGBP,2019-08-01 00:23:00,0.56327,0.56329,0.56309,0.56323,124
AUDGBP,2019-08-01 00:24:00,0.56322,0.56341,0.56321,0.56332,104
AUDGBP,2019-08-01 00:25:00,0.56333,0.56349,0.56323,0.56323,86
AUDGBP,2019-08-01 00:26:00,0.56319,0.56327,0.56318,0.56326,54
AUDGBP,2019-08-01 00:27:00,0.56325,0.56333,0.56325,0.56330,63
AUDGBP,2019-08-01 00:28:00,0.56331,0.56336,0.56329,0.56336,31
AUDGBP,2019-08-01 00:29:00,0.56337,0.56341,0.56335,0.56341,35
AUDGBP,2019-08-01 00:30:00,0.56340,0.56340,0.56323,0.56327,58
AUDGBP,2019-08-01 00:31:00,0.56326,0.56334,0.56325,0.56331,50
AUDGBP,2019-08-01 00:32:00,0.56328,0.56341,0.56327,0.56338,72
AUDGBP,2019-08-01 00:33:00,0.56337,0.56346,0.56335,0.56343,97
AUDGBP,2019-08-01 00:34:00,0.56344,0.56347,0.56340,0.56341,60
AUDGBP,2019-08-01 00:35:00,0.56342,0.56357,0.56340,0.56355,62
AUDGBP,2019-08-01 00:36:00,0.56356,0.56369,0.56342,0.56348,101
AUDGBP,2019-08-01 00:37:00,0.56349,0.56356,0.56339,0.56356,78
AUDGBP,2019-08-01 00:38:00,0.56355,0.56362,0.56346,0.56348,62
AUDGBP,2019-08-01 00:39:00,0.56347,0.56350,0.56331,0.56334,49
AUDGBP,2019-08-01 00:40:00,0.56333,0.56343,0.56331,0.56342,71
AUDGBP,2019-08-01 00:41:00,0.56343,0.56346,0.56336,0.56340,48
AUDGBP,2019-08-01 00:42:00,0.56341,0.56345,0.56337,0.56342,46
AUDGBP,2019-08-01 00:43:00,0.56341,0.56344,0.56335,0.56336,42
AUDGBP,2019-08-01 00:44:00,0.56335,0.56345,0.56333,0.56343,73
AUDGBP,2019-08-01 00:45:00,0.56344,0.56359,0.56342,0.56352,71
AUDGBP,2019-08-01 00:46:00,0.56353,0.56423,0.56351,0.56391,179
AUDGBP,2019-08-01 00:47:00,0.56389,0.56413,0.56378,0.56384,174
AUDGBP,2019-08-01 00:48:00,0.56382,0.56406,0.56377,0.56406,144
AUDGBP,2019-08-01 00:49:00,0.56405,0.56406,0.56396,0.56403,116
AUDGBP,2019-08-01 00:50:00,0.56401,0.56403,0.56391,0.56394,78
AUDGBP,2019-08-01 00:51:00,0.56395,0.56395,0.56389,0.56392,85
AUDGBP,2019-08-01 00:52:00,0.56390,0.56404,0.56390,0.56399,79
AUDGBP,2019-08-01 00:53:00,0.56403,0.56416,0.56400,0.56414,74
AUDGBP,2019-08-01 00:54:00,0.56415,0.56433,0.56407,0.56433,122
AUDGBP,2019-08-01 00:55:00,0.56434,0.56441,0.56411,0.56429,127
AUDGBP,2019-08-01 00:56:00,0.56431,0.56433,0.56417,0.56419,104
AUDGBP,2019-08-01 00:57:00,0.56418,0.56425,0.56418,0.56424,67
AUDGBP,2019-08-01 00:58:00,0.56423,0.56429,0.56401,0.56403,88
AUDGBP,2019-08-01 00:59:00,0.56404,0.56428,0.56403,0.56421,89
AUDGBP,2019-08-01 01:00:00,0.56420,0.56422,0.56408,0.56416,127
AUDGBP,2019-08-01 01:01:00,0.56421,0.56424,0.56413,0.56423,110
AUDGBP,2019-08-01 01:02:00,0.56418,0.56421,0.56415,0.56416,66
AUDGBP,2019-08-01 01:03:00,0.56415,0.56415,0.56403,0.56408,78
AUDGBP,2019-08-01 01:04:00,0.56407,0.56411,0.56401,0.56407,78
AUDGBP,2019-08-01 01:05:00,0.56408,0.56411,0.56401,0.56406,85
AUDGBP,2019-08-01 01:06:00,0.56407,0.56411,0.56406,0.56409,53
AUDGBP,2019-08-01 01:07:00,0.56410,0.56410,0.56401,0.56405,57
AUDGBP,2019-08-01 01:08:00,0.56404,0.56408,0.56397,0.56406,64
AUDGBP,2019-08-01 01:09:00,0.56405,0.56413,0.56404,0.56411,54
AUDGBP,2019-08-01 01:10:00,0.56412,0.56427,0.56412,0.56424,70
AUDGBP,2019-08-01 01:11:00,0.56428,0.56441,0.56425,0.56438,75
