EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
AUDUSD,2019-07-14 20:00:00,0.70145,0.70145,0.70118,0.70118,3
AUDUSD,2019-07-14 20:01:00,0.70145,0.70145,0.70118,0.70118,2
AUDUSD,2019-07-14 20:02:00,0.70145,0.70145,0.70139,0.70145,3
AUDUSD,2019-07-14 20:05:00,0.70143,0.70150,0.70128,0.70128,4
AUDUSD,2019-07-14 20:06:00,0.70150,0.70150,0.70150,0.70150,1
AUDUSD,2019-07-14 20:07:00,0.70128,0.70128,0.70128,0.70128,2
AUDUSD,2019-07-14 20:08:00,0.70150,0.70150,0.70128,0.70128,3
AUDUSD,2019-07-14 20:09:00,0.70150,0.70150,0.70149,0.70150,3
AUDUSD,2019-07-14 20:13:00,0.70128,0.70128,0.70128,0.70128,1
AUDUSD,2019-07-14 20:14:00,0.70148,0.70150,0.70128,0.70128,3
AUDUSD,2019-07-14 20:15:00,0.70150,0.70150,0.70128,0.70128,2
AUDUSD,2019-07-14 20:16:00,0.70150,0.70150,0.70128,0.70128,3
AUDUSD,2019-07-14 20:17:00,0.70150,0.70150,0.70150,0.70150,1
AUDUSD,2019-07-14 20:18:00,0.70128,0.70150,0.70128,0.70128,3
AUDUSD,2019-07-14 20:20:00,0.70149,,0.70128,0.70128,4
AUDUSD,2019-07-14 20:21:00,0.70150,0.70150,0.70126,0.70126,2
AUDUSD,2019-07-14 20:22:00,0.70150,0.70150,0.70150,0.70150,1
AUDUSD,2019-07-14 20:26:00,0.70155,0.70155,0.70136,0.70138,7
AUDUSD,2019-07-14 20:27:00,0.70152,0.70152,0.70138,0.70138,2
AUDUSD,2019-07-14 20:28:00,0.70151,0.70152,0.70149,0.70152,3
AUDUSD,2019-07-14 20:30:00,0.70121,0.70160,0.70121,0.70156,5
AUDUSD,2019-07-14 20:31:00,0.70155,0.70155,0.70155,0.70155,1
AUDUSD,2019-07-14 20:32:00,0.70154,0.70154,0.70154,0.70154,1
AUDUSD,2019-07-14 20:34:00,0.70153,0.70153,0.70153,0.70153,1
AUDUSD,2019-07-14 20:37:00,0.70152,0.70152,0.70152,0.70152,1
AUDUSD,2019-07-14 20:38:00,0.70145,0.70145,0.70145,0.70145,1
AUDUSD,2019-07-14 20:41:00,0.70144,0.70144,0.70144,0.70144,1
AUDUSD,2019-07-14 20:43:00,0.70129,0.70129,0.70129,0.70129,1
AUDUSD,2019-07-14 20:44:00,0.70144,0.70144,0.70129,0.70129,2
AUDUSD,2019-07-14 20:45:00,0.70144,0.70144,0.70123,0.70128,6
AUDUSD,2019-07-14 20:46:00,0.70134,0.70134,0.70128,0.70128,3
AUDUSD,2019-07-14 20:47:00,0.70134,0.70134,0.70128,0.70128,4
AUDUSD,2019-07-14 20:48:00,0.70134,0.70134,0.70132,0.70134,3
AUDUSD,2019-07-14 20:58:00,0.70139,0.70139,0.70139,0.70139,1
AUDUSD,2019-07-14 20:59:00,0.70129,0.70129,0.70129,0.70129,1
AUDUSD,2019-07-14 21:00:00,0.70131,0.70131,0.70126,0.70129,10
AUDUSD,2019-07-14 21:01:00,0.70128,0.70131,0.70127,0.70131,8
AUDUSD,2019-07-14 21:02:00,0.70139,0.70139,0.70125,0.70125,4
AUDUSD,2019-07-14 21:03:00,0.70139,0.70139,0.70124,0.70125,11
AUDUSD,2019-07-14 21:04:00,0.70126,0.70141,0.70124,0.70125,22
AUDUSD,2019-07-14 21:05:00,0.70138,0.70147,0.70122,0.70127,51
AUDUSD,2019-07-14 21:06:00,0.70143,0.70146,0.70129,0.70129,15
AUDUSD,2019-07-14 21:07:00,0.70127,0.70146,0.70127,0.70144,11
AUDUSD,2019-07-14 21:08:00,0.70137,0.70144,0.70127,0.70144,6
AUDUSD,2019-07-14 21:09:00,0.70145,0.70150,0.70138,0.70150,20
AUDUSD,2019-07-14 21:10:00,0.70149,0.70150,0.70138,0.70150,8
AUDUSD,2019-07-14 21:11:00,0.70149,0.70150,0.70141,0.70150,12
AUDUSD,2019-07-14 21:12:00,0.70148,0.70148,0.70142,0.70143,10
AUDUSD,2019-07-14 21:13:00,0.70141,0.70144,0.70138,0.70144,7
AUDUSD,2019-07-14 21:14:00,0.70138,0.70141,0.70138,0.70141,5
AUDUSD,2019-07-14 21:15:00,0.70138,0.70144,0.70133,0.70137,18
AUDUSD,2019-07-14 21:16:00,0.70140,0.70149,0.70139,0.70143,18
AUDUSD,2019-07-14 21:17:00,0.70142,0.70143,0.70139,0.70142,12
AUDUSD,2019-07-14 21:18:00,0.70139,0.70143,0.70139,0.70141,9
AUDUSD,2019-07-14 21:19:00,0.70142,0.70144,0.70137,0.70143,16
AUDUSD,2019-07-14 21:20:00,0.70142,0.70143,0.70138,0.70138,5
AUDUSD,2019-07-14 21:21:00,0.70140,0.70140,0.70140,0.70140,1
AUDUSD,2019-07-14 21:22:00,0.70141,0.70148,0.70137,0.70140,15
AUDUSD,2019-07-14 21:23:00,0.70144,0.70145,0.70138,0.70142,14
AUDUSD,2019-07-14 21:24:00,0.70138,0.70146,0.70138,0.70139,13
AUDUSD,2019-07-14 21:25:00,0.70138,0.70152,0.70138,0.70150,13
AUDUSD,2019-07-14 21:26:00,0.70151,0.70151,0.70137,0.70150,13
AUDUSD,2019-07-14 21:27:00,0.70145,0.70150,0.70138,0.70141,26
AUDUSD,2019-07-14 21:28:00,0.70140,0.70152,0.70139,0.70149,19
AUDUSD,2019-07-14 21:29:00,0.70150,0.70152,0.70134,0.70147,13
AUDUSD,2019-07-14 21:30:00,0.70148,0.70163,0.70136,0.70161,90
AUDUSD,2019-07-14 21:31:00,0.70170,0.70170,0.70144,0.70166,59
AUDUSD,2019-07-14 21:32:00,0.70161,0.70170,0.70139,0.70153,60
AUDUSD,2019-07-14 21:33:00,0.70154,0.70158,0.70120,0.70154,56
AUDUSD,2019-07-14 21:34:00,0.70155,0.70162,0.70129,0.70129,22
AUDUSD,2019-07-14 21:35:00,0.70153,0.70170,0.70133,0.70159,54
AUDUSD,2019-07-14 21:36:00,0.70157,0.70169,0.70152,0.70159,35
AUDUSD,2019-07-14 21:37:00,0.70155,0.70162,0.70152,0.70162,33
AUDUSD,2019-07-14 21:38:00,0.70161,0.70162,0.70153,0.70161,20
AUDUSD,2019-07-14 21:39:00,0.70159,0.70161,0.70133,0.70157,20
AUDUSD,2019-07-14 21:40:00,0.70155,0.70160,0.70140,0.70157,25
AUDUSD,2019-07-14 21:41:00,0.70155,0.70162,0.70148,0.70161,31
AUDUSD,2019-07-14 21:42:00,0.70163,0.70163,0.70152,0.70159,11
AUDUSD,2019-07-14 21:43:00,0.70157,0.70160,0.70157,0.70158,15
AUDUSD,2019-07-14 21:44:00,0.70159,0.70160,0.70157,0.70160,12
AUDUSD,2019-07-14 21:45:00,0.70159,0.70167,0.70138,0.70166,19
AUDUSD,2019-07-14 21:46:00,0.70165,0.70169,0.70164,0.70168,21
AUDUSD,2019-07-14 21:47:00,0.70166,0.70169,0.70165,0.70167,22
AUDUSD,2019-07-14 21:48:00,0.70166,0.70170,0.70139,0.70166,16
AUDUSD,2019-07-14 21:49:00,0.70159,0.70178,0.70143,0.70178,22
AUDUSD,2019-07-14 21:50:00,0.70159,0.70178,0.70159,0.70178,10
AUDUSD,2019-07-14 21:51:00,0.70177,0.70177,0.70177,0.70177,1
AUDUSD,2019-07-14 21:52:00,0.70176,0.70178,0.70165,0.70170,22
AUDUSD,2019-07-14 21:53:00,0.70171,0.70176,0.70170,0.70172,26
AUDUSD,2019-07-14 21:54:00,0.70173,0.70175,0.70163,0.70166,49
AUDUSD,2019-07-14 21:55:00,0.70167,0.70177,0.70167,0.70174,43
AUDUSD,2019-07-14 21:56:00,0.70172,0.70176,0.70172,0.70175,32
