EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
BITCOI,2019-09-01 00:00:00,9582.00,9582.07,9573.72,9574.13,96
BITCOI,2019-09-01 00:01:00,9574.01,9579.70,9573.78,9579.57,101
BITCOI,2019-09-01 00:02:00,9579.55,9580.10,9578.02,9580.10,60
BITCOI,2019-09-01 00:03:00,9580.11,9582.48,9579.18,9582.38,120
BITCOI,2019-09-01 00:04:00,9582.33,9591.24,9582.04,9591.21,83
BITCOI,2019-09-01 00:05:00,9591.25,9596.92,9591.25,9596.76,51
BITCOI,2019-09-01 00:06:00,9596.67,9596.76,9590.13,9590.91,54
BITCOI,2019-09-01 00:07:00,9590.93,9591.46,9586.07,9586.07,95
BITCOI,2019-09-01 00:08:00,9585.68,9587.79,9585.21,9587.35,83
BITCOI,2019-09-01 00:09:00,9588.20,9588.26,9585.80,9587.19,66
BITCOI,2019-09-01 00:10:00,9587.18,9587.78,9586.60,9587.72,39
BITCOI,2019-09-01 00:11:00,9587.88,9592.03,9587.82,9591.51,66
BITCOI,2019-09-01 00:12:00,9591.56,9591.64,9590.71,9590.95,52
BITCOI,2019-09-01 00:13:00,9590.94,9591.17,9588.13,9589.26,110
BITCOI,2019-09-01 00:14:00,9589.14,9592.17,9589.14,9592.06,30
BITCOI,2019-09-01 00:15:00,9592.02,9592.44,9592.00,9592.43,14
BITCOI,2019-09-01 00:16:00,9592.52,9596.36,9592.21,9595.64,67
BITCOI,2019-09-01 00:17:00,9595.58,9601.09,9595.58,9599.70,21
BITCOI,2019-09-01 00:18:00,9599.71,9600.07,9599.71,9600.07,11
BITCOI,2019-09-01 00:19:00,9601.03,9601.95,9598.57,9599.66,29
BITCOI,2019-09-01 00:20:00,9600.91,9601.13,9597.54,9599.42,39
BITCOI,2019-09-01 00:21:00,9599.72,9602.05,9598.65,9602.03,53
BITCOI,2019-09-01 00:22:00,9601.84,9603.90,9601.82,9603.66,32
BITCOI,2019-09-01 00:23:00,9603.67,9603.91,9600.07,9603.70,50
BITCOI,2019-09-01 00:24:00,9603.71,9604.81,9603.71,9604.12,42
BITCOI,2019-09-01 00:25:00,9604.09,9605.07,9602.83,9603.62,46
BITCOI,2019-09-01 00:26:00,9603.61,9604.11,9602.65,9603.73,84
BITCOI,2019-09-01 00:27:00,9603.72,9604.75,9603.72,9604.65,44
BITCOI,2019-09-01 00:28:00,9604.64,9604.87,9602.43,9602.97,39
BITCOI,2019-09-01 00:29:00,9603.04,9605.46,9603.04,9605.42,34
BITCOI,2019-09-01 00:30:00,9605.36,9606.32,9604.86,9606.07,64
BITCOI,2019-09-01 00:31:00,9606.08,9607.66,9605.39,9606.37,44
BITCOI,2019-09-01 00:32:00,9606.36,9608.08,9606.00,9606.07,80
BITCOI,2019-09-01 00:33:00,9606.06,9606.69,9606.00,9606.29,50
BITCOI,2019-09-01 00:34:00,9606.45,9607.73,9606.45,9607.73,13
