EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
CADJPY,2019-09-01 20:00:00,79.553,79.568,79.553,79.568,4
CADJPY,2019-09-01 20:01:00,79.569,79.618,79.566,79.618,15
CADJPY,2019-09-01 20:02:00,79.612,79.627,79.612,79.615,12
CADJPY,2019-09-01 20:03:00,79.616,79.691,79.590,79.590,17
CADJPY,2019-09-01 20:04:00,79.473,79.617,79.473,79.522,9
CADJPY,2019-09-01 20:05:00,79.535,79.626,79.535,79.626,14
CADJPY,2019-09-01 20:06:00,79.584,79.584,79.568,79.568,2
CADJPY,2019-09-01 20:07:00,,,,,
CADJPY,2019-09-01 20:08:00,79.572,79.572,79.572,79.572,1
CADJPY,2019-09-01 20:09:00,79.622,79.626,79.620,79.620,4
CADJPY,2019-09-01 20:10:00,79.587,79.606,79.572,79.572,3
CADJPY,2019-09-01 20:11:00,,,,,
CADJPY,2019-09-01 20:12:00,79.571,79.646,79.545,79.572,15
CADJPY,2019-09-01 20:13:00,,,,,
CADJPY,2019-09-01 20:14:00,,,,,
CADJPY,2019-09-01 20:15:00,,,,,
CADJPY,2019-09-01 20:16:00,,,,,
CADJPY,2019-09-01 20:17:00,,,,,
CADJPY,2019-09-01 20:18:00,,,,,
CADJPY,2019-09-01 20:19:00,79.624,79.626,79.572,79.572,3
CADJPY,2019-09-01 20:20:00,79.580,79.635,79.580,79.629,10
CADJPY,2019-09-01 20:21:00,79.602,79.679,79.565,79.579,14
CADJPY,2019-09-01 20:22:00,79.592,79.649,79.592,79.649,5
CADJPY,2019-09-01 20:23:00,79.627,79.627,79.599,79.603,4
CADJPY,2019-09-01 20:24:00,79.645,79.655,79.603,79.655,6
CADJPY,2019-09-01 20:25:00,79.634,79.634,79.574,79.574,13
CADJPY,2019-09-01 20:26:00,,,,,
CADJPY,2019-09-01 20:27:00,79.656,79.664,79.623,79.629,5
CADJPY,2019-09-01 20:28:00,79.657,79.663,79.629,79.639,5
CADJPY,2019-09-01 20:29:00,79.634,79.666,79.600,79.600,8
CADJPY,2019-09-01 20:30:00,79.593,79.639,79.593,79.639,2
CADJPY,2019-09-01 20:31:00,79.644,79.644,79.644,79.644,1
CADJPY,2019-09-01 20:32:00,,,,,
CADJPY,2019-09-01 20:33:00,79.649,79.649,79.647,79.647,2
CADJPY,2019-09-01 20:34:00,79.643,79.649,79.643,79.649,2
CADJPY,2019-09-01 20:35:00,,,,,
CADJPY,2019-09-01 20:36:00,79.665,79.665,79.649,79.649,3
CADJPY,2019-09-01 20:37:00,79.665,79.665,79.649,79.655,17
CADJPY,2019-09-01 20:38:00,79.665,79.665,79.655,79.655,3
CADJPY,2019-09-01 20:39:00,79.665,79.665,79.665,79.665,1
CADJPY,2019-09-01 20:40:00,79.655,79.662,79.655,79.655,3
CADJPY,2019-09-01 20:41:00,79.659,79.659,79.659,79.659,1
CADJPY,2019-09-01 20:42:00,79.662,79.662,79.654,79.659,4
CADJPY,2019-09-01 20:43:00,,,,,
CADJPY,2019-09-01 20:44:00,,,,,
CADJPY,2019-09-01 20:45:00,79.666,79.666,79.659,79.666,3
CADJPY,2019-09-01 20:46:00,79.659,79.659,79.659,79.659,2
CADJPY,2019-09-01 20:47:00,79.662,79.662,79.661,79.661,3
CADJPY,2019-09-01 20:48:00,79.659,79.659,79.659,79.659,2
CADJPY,2019-09-01 20:49:00,,,,,
CADJPY,2019-09-01 20:50:00,,,,,
CADJPY,2019-09-01 20:51:00,79.665,79.665,79.635,79.635,5
CADJPY,2019-09-01 20:52:00,79.658,79.659,79.646,79.659,6
CADJPY,2019-09-01 20:53:00,,,,,
CADJPY,2019-09-01 20:54:00,,,,,
CADJPY,2019-09-01 20:55:00,79.663,79.663,79.585,79.637,9
CADJPY,2019-09-01 20:56:00,79.642,79.642,79.549,79.588,7
CADJPY,2019-09-01 20:57:00,79.624,79.624,79.588,79.588,3
CADJPY,2019-09-01 20:58:00,,,,,
CADJPY,2019-09-01 20:59:00,79.597,79.611,79.593,79.611,3
CADJPY,2019-09-01 21:00:00,79.591,79.593,79.552,79.552,9
CADJPY,2019-09-01 21:01:00,79.556,79.599,79.549,79.591,11
CADJPY,2019-09-01 21:02:00,79.587,79.587,79.587,79.587,1
CADJPY,2019-09-01 21:03:00,79.607,79.608,79.593,79.593,4
CADJPY,2019-09-01 21:04:00,79.606,79.609,79.578,79.578,7
CADJPY,2019-09-01 21:05:00,79.584,79.608,79.547,79.547,7
CADJPY,2019-09-01 21:06:00,79.584,79.609,79.555,79.609,9
CADJPY,2019-09-01 21:07:00,79.591,79.605,79.544,79.596,25
CADJPY,2019-09-01 21:08:00,79.601,79.604,79.580,79.596,11
CADJPY,2019-09-01 21:09:00,79.600,79.600,79.600,79.600,1
