EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
ETHUSD,2019-09-01 00:00:00,171.16,171.16,171.04,171.05,23
ETHUSD,2019-09-01 00:01:00,171.06,171.35,171.06,171.33,29
ETHUSD,2019-09-01 00:02:00,171.32,171.34,171.29,171.34,21
ETHUSD,2019-09-01 00:03:00,171.33,171.44,171.32,171.43,15
ETHUSD,2019-09-01 00:04:00,171.42,171.67,171.41,171.66,25
ETHUSD,2019-09-01 00:05:00,171.65,171.68,171.63,171.65,30
ETHUSD,2019-09-01 00:06:00,171.64,171.64,171.43,171.46,31
ETHUSD,2019-09-01 00:07:00,171.47,171.47,171.41,171.41,9
ETHUSD,2019-09-01 00:08:00,171.40,171.40,171.35,171.35,14
ETHUSD,2019-09-01 00:09:00,171.34,171.35,171.34,171.34,7
ETHUSD,2019-09-01 00:10:00,171.36,171.40,171.35,171.39,11
ETHUSD,2019-09-01 00:11:00,171.40,171.44,171.39,171.43,15
ETHUSD,2019-09-01 00:12:00,171.44,171.47,171.44,171.45,11
ETHUSD,2019-09-01 00:13:00,171.44,171.44,171.36,171.38,25
ETHUSD,2019-09-01 00:14:00,171.35,171.38,171.35,171.36,8
ETHUSD,2019-09-01 00:15:00,171.34,171.39,171.32,171.37,32
ETHUSD,2019-09-01 00:16:00,171.36,171.38,171.35,171.35,26
ETHUSD,2019-09-01 00:17:00,171.34,171.46,171.34,171.45,30
ETHUSD,2019-09-01 00:18:00,171.44,171.46,171.43,171.44,5
ETHUSD,2019-09-01 00:19:00,171.43,171.45,171.41,171.45,14
ETHUSD,2019-09-01 00:20:00,171.44,171.48,171.44,171.45,17
ETHUSD,2019-09-01 00:21:00,171.46,171.82,171.46,171.70,83
ETHUSD,2019-09-01 00:22:00,171.69,171.75,171.63,171.72,18
ETHUSD,2019-09-01 00:23:00,171.76,171.79,171.76,171.79,5
ETHUSD,2019-09-01 00:24:00,171.81,171.92,171.81,171.92,15
ETHUSD,2019-09-01 00:25:00,171.94,171.99,171.94,171.95,4
ETHUSD,2019-09-01 00:26:00,171.97,172.03,171.97,172.02,6
ETHUSD,2019-09-01 00:27:00,172.01,172.23,172.01,172.21,25
ETHUSD,2019-09-01 00:28:00,172.24,172.25,172.03,172.11,27
ETHUSD,2019-09-01 00:29:00,172.10,172.18,172.08,172.18,15
ETHUSD,2019-09-01 00:30:00,172.19,172.29,172.18,172.28,22
ETHUSD,2019-09-01 00:31:00,172.25,172.34,172.24,172.34,23
ETHUSD,2019-09-01 00:32:00,172.35,172.38,172.35,172.36,17
ETHUSD,2019-09-01 00:33:00,172.37,172.40,172.35,172.39,22
ETHUSD,2019-09-01 00:34:00,172.40,172.43,172.38,172.41,7
ETHUSD,2019-09-01 00:35:00,172.40,172.40,172.31,172.34,16
ETHUSD,2019-09-01 00:36:00,172.35,172.40,172.34,172.35,39
ETHUSD,2019-09-01 00:37:00,172.33,172.34,172.32,172.32,8
ETHUSD,2019-09-01 00:38:00,172.31,172.31,172.17,172.17,17
ETHUSD,2019-09-01 00:39:00,172.16,172.16,172.01,172.06,27
ETHUSD,2019-09-01 00:40:00,172.04,172.05,171.99,172.02,8
ETHUSD,2019-09-01 00:41:00,172.01,172.01,171.90,171.92,16
ETHUSD,2019-09-01 00:42:00,171.94,172.20,171.94,172.15,33
ETHUSD,2019-09-01 00:43:00,172.14,172.19,172.12,172.17,22
ETHUSD,2019-09-01 00:44:00,172.18,172.18,172.15,172.15,16
ETHUSD,2019-09-01 00:45:00,172.13,172.13,172.11,172.12,8
ETHUSD,2019-09-01 00:46:00,172.11,172.17,172.11,172.17,10
ETHUSD,2019-09-01 00:47:00,172.15,172.21,172.12,172.19,34
ETHUSD,2019-09-01 00:48:00,172.18,172.19,172.10,172.12,22
ETHUSD,2019-09-01 00:49:00,172.13,172.14,172.10,172.10,15
ETHUSD,2019-09-01 00:50:00,172.11,172.11,171.97,171.98,18
ETHUSD,2019-09-01 00:51:00,171.99,172.07,171.97,172.06,24
ETHUSD,2019-09-01 00:52:00,172.07,172.07,172.07,172.07,1
ETHUSD,2019-09-01 00:53:00,172.06,172.22,172.06,172.21,30
ETHUSD,2019-09-01 00:54:00,172.22,172.23,172.20,172.21,11
ETHUSD,2019-09-01 00:55:00,172.20,172.20,172.06,172.07,29
ETHUSD,2019-09-01 00:56:00,172.08,172.10,172.05,172.06,20
ETHUSD,2019-09-01 00:57:00,172.03,172.03,172.03,172.03,1
ETHUSD,2019-09-01 00:58:00,172.04,172.07,172.03,172.04,23
ETHUSD,2019-09-01 00:59:00,172.03,172.06,171.99,171.99,22
ETHUSD,2019-09-01 01:00:00,171.98,172.00,171.97,172.00,7
ETHUSD,2019-09-01 01:01:00,172.01,172.04,172.00,172.01,22
ETHUSD,2019-09-01 01:02:00,172.02,172.07,172.02,172.07,9
ETHUSD,2019-09-01 01:03:00,172.06,172.07,172.05,172.07,8
ETHUSD,2019-09-01 01:04:00,172.09,172.25,172.09,172.16,28
ETHUSD,2019-09-01 01:05:00,172.17,172.47,172.15,172.38,60
ETHUSD,2019-09-01 01:06:00,172.37,172.38,172.35,172.38,15
ETHUSD,2019-09-01 01:07:00,172.39,172.62,172.39,172.59,34
ETHUSD,2019-09-01 01:08:00,172.60,172.77,172.59,172.73,15
ETHUSD,2019-09-01 01:09:00,172.77,172.79,172.77,172.77,4
ETHUSD,2019-09-01 01:10:00,172.76,172.89,172.76,172.86,24
ETHUSD,2019-09-01 01:11:00,172.88,172.96,172.85,172.96,18
ETHUSD,2019-09-01 01:12:00,172.98,172.98,172.73,172.74,35
ETHUSD,2019-09-01 01:13:00,,,,,
ETHUSD,2019-09-01 01:14:00,172.78,172.86,172.78,172.83,8
ETHUSD,2019-09-01 01:15:00,172.82,172.84,172.82,172.83,4
ETHUSD,2019-09-01 01:16:00,172.82,172.84,172.80,172.81,17
ETHUSD,2019-09-01 01:17:00,172.80,172.83,172.80,172.82,9
ETHUSD,2019-09-01 01:18:00,172.81,172.82,172.79,172.79,22
ETHUSD,2019-09-01 01:19:00,172.81,172.82,172.79,172.82,4
ETHUSD,2019-09-01 01:20:00,172.81,172.81,172.78,172.78,2
ETHUSD,2019-09-01 01:21:00,172.79,172.81,172.79,172.80,6
ETHUSD,2019-09-01 01:22:00,172.82,172.83,172.81,172.81,7
ETHUSD,2019-09-01 01:23:00,172.80,172.81,172.79,172.79,5
ETHUSD,2019-09-01 01:24:00,172.80,172.80,172.77,172.79,10
ETHUSD,2019-09-01 01:25:00,172.78,172.78,172.77,172.78,3
ETHUSD,2019-09-01 01:26:00,172.79,172.79,172.77,172.77,7
ETHUSD,2019-09-01 01:27:00,172.78,172.78,172.77,172.77,2
ETHUSD,2019-09-01 01:28:00,172.78,172.79,172.78,172.78,3
ETHUSD,2019-09-01 01:29:00,172.77,172.78,172.77,172.78,2
ETHUSD,2019-09-01 01:30:00,172.79,172.79,172.78,172.79,3
ETHUSD,2019-09-01 01:31:00,172.78,172.80,172.78,172.80,5
ETHUSD,2019-09-01 01:32:00,172.79,172.82,172.79,172.81,9
ETHUSD,2019-09-01 01:33:00,172.80,172.80,172.80,172.80,1
ETHUSD,2019-09-01 01:34:00,172.79,172.81,172.79,172.81,9
ETHUSD,2019-09-01 01:35:00,172.83,172.86,172.81,172.86,11
ETHUSD,2019-09-01 01:36:00,172.89,172.91,172.81,172.89,19
ETHUSD,2019-09-01 01:37:00,172.88,172.89,172.88,172.88,5
ETHUSD,2019-09-01 01:38:00,172.89,172.91,172.88,172.89,16
ETHUSD,2019-09-01 01:39:00,172.90,172.90,172.86,172.86,10
ETHUSD,2019-09-01 01:40:00,172.85,172.89,172.85,172.88,9
ETHUSD,2019-09-01 01:41:00,172.87,172.87,172.84,172.86,12
ETHUSD,2019-09-01 01:42:00,172.88,172.89,172.82,172.82,18
ETHUSD,2019-09-01 01:42:00,172.88,172.89,172.82,172.82,18
ETHUSD,2019-09-01 01:43:00,172.81,172.82,172.79,172.79,6
ETHUSD,2019-09-01 01:44:00,172.80,172.82,172.79,172.80,26
ETHUSD,2019-09-01 01:45:00,172.81,172.82,172.80,172.81,13
ETHUSD,2019-09-01 01:46:00,172.82,172.83,172.78,172.80,22
ETHUSD,2019-09-01 01:47:00,172.79,172.79,172.77,172.77,3
ETHUSD,2019-09-01 01:48:00,172.75,172.75,172.70,172.73,10
ETHUSD,2019-09-01 01:49:00,172.74,172.74,172.74,172.74,1
ETHUSD,2019-09-01 01:50:00,172.73,172.73,172.71,172.71,6
ETHUSD,2019-09-01 01:51:00,172.70,172.70,172.66,172.66,13
ETHUSD,2019-09-01 01:52:00,172.65,172.65,172.61,172.61,3
ETHUSD,2019-09-01 01:53:00,172.60,172.60,172.57,172.57,4
ETHUSD,2019-09-01 01:54:00,172.56,172.56,172.50,172.50,7
ETHUSD,2019-09-01 01:55:00,172.46,172.46,172.35,172.35,16
ETHUSD,2019-09-01 01:56:00,172.36,172.36,172.25,172.25,13
ETHUSD,2019-09-01 01:57:00,172.24,172.24,172.17,172.17,13
