EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
EURUSD,2019-07-14 20:00:00,1.12670,1.12670,1.12670,1.12670,1
EURUSD,2019-07-14 20:02:00,1.12669,1.12669,1.12669,1.12669,
EURUSD,2019-07-14 20:06:00,1.12670,1.12670,1.12670,1.12670,1
EURUSD,2019-07-14 20:08:00,1.12669,1.12669,1.12669,1.12669,
EURUSD,2019-07-14 20:28:00,1.12668,1.12668,1.12668,1.12668,
EURUSD,2019-07-14 20:30:00,1.12662,1.12662,1.12662,1.12662,1
EURUSD,2019-07-14 20:37:00,1.12692,1.12692,1.12692,1.12692,1
EURUSD,2019-07-14 20:38:00,1.12662,1.12662,1.12662,1.12662,1
EURUSD,2019-07-14 20:48:00,1.12661,1.12661,1.12661,1.12661,1
EURUSD,2019-07-14 20:54:00,1.12662,1.12662,1.12662,1.12662,1
EURUSD,2019-07-14 20:58:00,1.12667,1.12667,1.12667,1.12667,
EURUSD,2019-07-14 21:00:00,1.12686,1.12686,1.12652,1.12660,12
EURUSD,2019-07-14 21:01:00,1.12659,1.12671,1.12650,1.12663,13
EURUSD,2019-07-14 21:02:00,1.12658,1.12676,1.12647,1.12676,5
EURUSD,2019-07-14 21:03:00,1.12677,1.12677,1.12677,1.12677,1
EURUSD,2019-07-14 21:04:00,1.12647,1.12691,1.12647,1.12687,20
EURUSD,2019-07-14 21:05:00,1.12686,1.12691,1.12648,1.12684,49
EURUSD,2019-07-14 21:06:00,1.12682,1.12691,1.12674,1.12691,7
EURUSD,2019-07-14 21:07:00,1.12684,1.12684,1.12682,1.12682,2
EURUSD,2019-07-14 21:08:00,1.12684,1.12684,1.12675,1.12678,4
EURUSD,2019-07-14 21:09:00,1.12673,1.12684,1.12673,1.12684,10
EURUSD,2019-07-14 21:10:00,1.12687,1.12690,1.12674,1.12675,43
EURUSD,2019-07-14 21:11:00,1.12677,1.12684,1.12677,1.12678,9
EURUSD,2019-07-14 21:12:00,1.12683,1.12687,1.12679,1.12687,6
EURUSD,2019-07-14 21:13:00,1.12680,1.12691,1.12636,1.12636,40
EURUSD,2019-07-14 21:14:00,1.12644,1.12650,1.12644,1.12644,10
EURUSD,2019-07-14 21:15:00,1.12650,1.12653,1.12637,1.12645,40
EURUSD,2019-07-14 21:16:00,1.12644,1.12649,1.12626,1.12649,33
EURUSD,2019-07-14 21:17:00,1.12648,1.12654,1.12644,1.12654,10
EURUSD,2019-07-14 21:18:00,1.12655,1.12661,1.12621,1.12650,12
EURUSD,2019-07-14 21:19:00,1.12659,1.12659,1.12646,1.12654,21
EURUSD,2019-07-14 21:20:00,1.12652,1.12660,1.12644,1.12650,12
EURUSD,2019-07-14 21:21:00,1.12622,1.12655,1.12622,1.12622,6
EURUSD,2019-07-14 21:22:00,1.12651,1.12662,1.12622,1.12622,11
EURUSD,2019-07-14 21:23:00,1.12660,1.12682,1.12622,1.12667,18
EURUSD,2019-07-14 21:24:00,1.12668,1.12703,1.12668,1.12695,20
EURUSD,2019-07-14 21:25:00,1.12696,1.12710,1.12669,1.12704,82
EURUSD,2019-07-14 21:26:00,1.12705,1.12705,1.12693,1.12701,25
EURUSD,2019-07-14 21:27:00,1.12700,1.12704,1.12692,1.12695,67
EURUSD,2019-07-14 21:28:00,1.12692,1.12705,1.12692,1.12699,102
EURUSD,2019-07-14 21:29:00,1.12697,1.12700,1.12697,1.12700,18
EURUSD,2019-07-14 21:30:00,1.12699,1.12703,1.12633,1.12655,431
EURUSD,2019-07-14 21:31:00,1.12656,1.12657,1.12648,1.12657,68
EURUSD,2019-07-14 21:32:00,1.12651,1.12668,1.12650,1.12658,75
EURUSD,2019-07-14 21:33:00,1.12655,1.12702,1.12654,1.12687,210
EURUSD,2019-07-14 21:34:00,1.12689,1.12695,1.12661,1.12679,114
EURUSD,2019-07-14 21:35:00,1.12680,1.12680,1.12618,1.12658,128
EURUSD,2019-07-14 21:36:00,1.12657,1.12659,1.12650,1.12656,59
