EPIC,DATETIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
GBPUSD,2019-07-01 00:00:00,1.2693,1.26934,1.26923,1.26934,61299.9992
GBPUSD,2019-07-01 00:01:00,1.26934,1.26949,1.26934,1.26949,133080.0018
GBPUSD,2019-07-01 00:02:00,1.26948,1.26949,1.26942,1.26949,45500
GBPUSD,2019-07-01 00:03:00,1.26947,1.26951,1.26946,1.26948,33250
GBPUSD,2019-07-01 00:04:00,1.26946,1.26949,1.2694,1.26948,44380.0011
GBPUSD,2019-07-01 00:05:00,1.26949,1.26953,1.26945,1.26953,46919.9982
GBPUSD,2019-07-01 00:06:00,1.26951,1.26951,1.2694,1.26945,60619.9989
GBPUSD,2019-07-01 00:07:00,1.26947,1.26948,1.26945,1.26945,27430.0003
GBPUSD,2019-07-01 00:08:00,1.26945,1.26957,1.26945,1.26956,32049.9992
GBPUSD,2019-07-01 00:09:00,1.26956,1.26957,1.26953,1.26957,20360.0006
GBPUSD,2019-07-01 00:10:00,1.26954,1.26959,1.26954,1.26957,12880.0001
GBPUSD,2019-07-01 00:11:00,1.26956,1.26956,1.26945,1.26945,39549.9992
GBPUSD,2019-07-01 00:12:00,1.26945,1.2696,1.26945,1.26958,82879.9973
GBPUSD,2019-07-01 00:13:00,1.26958,1.26968,1.26958,1.26967,32630.0011
GBPUSD,2019-07-01 00:14:00,1.26963,1.26972,1.26963,1.26971,39060.0014
GBPUSD,2019-07-01 00:15:00,1.2697,1.2697,1.26965,1.26965,33500
GBPUSD,2019-07-01 00:16:00,1.26967,1.26979,1.26967,1.26979,27500
GBPUSD,2019-07-01 00:17:00,1.26979,1.2698,1.26975,1.26977,40310.0014
GBPUSD,2019-07-01 00:18:00,1.26972,1.26972,1.26966,1.26967,22809.9995
GBPUSD,2019-07-01 00:19:00,1.26971,1.26978,1.2697,1.26977,40380.0011
GBPUSD,2019-07-01 00:20:00,1.26976,1.26979,1.26966,1.26966,54740.0017
GBPUSD,2019-07-01 00:21:00,1.26967,1.2697,1.26956,1.26956,67690.0024
GBPUSD,2019-07-01 00:22:00,1.26956,1.26956,1.26946,1.26954,89790.0009
GBPUSD,2019-07-01 00:23:00,1.26956,1.26956,1.26945,1.26954,121790.0009
GBPUSD,2019-07-01 00:24:00,1.26954,1.26954,1.26938,1.26943,57060.0014
GBPUSD,2019-07-01 00:25:00,1.26942,1.26942,1.26935,1.26938,39250
GBPUSD,2019-07-01 00:26:00,1.26939,1.26947,1.26934,1.26935,95379.9973
GBPUSD,2019-07-01 00:27:00,1.26936,1.26946,1.26935,1.26946,35000
GBPUSD,2019-07-01 00:28:00,1.26946,1.26949,1.26945,1.26945,43250
GBPUSD,2019-07-01 00:29:00,1.26947,1.26947,1.26944,1.26944,13189.9996
GBPUSD,2019-07-01 00:30:00,1.26944,1.26947,1.26942,1.26945,34189.9986
GBPUSD,2019-07-01 00:31:00,1.26946,1.26948,1.26944,1.26947,40689.9986
GBPUSD,2019-07-01 00:32:00,1.26947,1.26958,1.26946,1.26951,90500
GBPUSD,2019-07-01 00:33:00,1.2695,1.2695,1.2694,1.26947,59450.0008
GBPUSD,2019-07-01 00:34:00,1.26947,1.26947,1.26936,1.26946,60610.0006
GBPUSD,2019-07-01 00:35:00,1.26946,1.26949,1.26941,1.26945,39500
GBPUSD,2019-07-01 00:36:00,1.26946,1.26948,1.26937,1.26938,33119.9989
GBPUSD,2019-07-01 00:37:00,1.26939,1.26939,1.26928,1.26929,41759.9983
GBPUSD,2019-07-01 00:38:00,1.2693,1.26932,1.26927,1.26927,40310.0014
GBPUSD,2019-07-01 00:39:00,1.26928,1.26928,1.26914,1.26914,65300.0031
GBPUSD,2019-07-01 00:40:00,1.26914,1.26916,1.26904,1.26905,83120.0027
GBPUSD,2019-07-01 00:41:00,1.26904,1.26914,1.26904,1.26913,45180.0003
GBPUSD,2019-07-01 00:42:00,1.26914,1.26914,1.26897,1.26903,52830.0018
GBPUSD,2019-07-01 00:43:00,1.26903,1.26905,1.26897,1.26904,29440.0005
GBPUSD,2019-07-01 00:44:00,1.269,1.26908,1.26897,1.26902,38959.9991
GBPUSD,2019-07-01 00:45:00,1.26904,1.26905,1.26897,1.26897,59150.0015
