EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
LTCUSD,2019-07-15 08:26:00,87.63,87.64,87.58,87.58,7
LTCUSD,2019-07-15 08:27:00,87.59,87.80,87.59,87.80,36
LTCUSD,2019-07-15 08:28:00,87.79,87.95,87.79,87.89,47
LTCUSD,2019-07-15 08:29:00,87.88,87.89,87.78,87.78,46
LTCUSD,2019-07-15 08:30:00,87.80,87.89,87.74,87.89,22
LTCUSD,2019-07-15 08:31:00,87.84,87.85,87.75,87.77,31
LTCUSD,2019-07-15 08:32:00,87.78,87.82,87.70,87.70,54
LTCUSD,2019-07-15 08:33:00,87.68,87.70,87.55,87.56,28
LTCUSD,2019-07-15 08:34:00,87.55,87.64,87.50,87.61,37
LTCUSD,2019-07-15 08:35:00,87.60,87.60,87.48,87.48,60
LTCUSD,2019-07-15 08:36:00,87.50,87.67,87.44,87.67,41
LTCUSD,2019-07-15 08:37:00,87.68,87.99,87.68,87.94,60
LTCUSD,2019-07-15 08:38:00,87.95,88.28,87.95,88.13,63
LTCUSD,2019-07-15 08:39:00,88.12,88.29,88.04,88.28,73
LTCUSD,2019-07-15 08:40:00,88.29,88.30,88.17,88.19,74
LTCUSD,2019-07-15 08:41:00,88.18,88.31,88.18,88.31,51
LTCUSD,2019-07-15 08:42:00,88.30,88.31,88.14,88.14,61
LTCUSD,2019-07-15 08:43:00,88.15,88.17,88.06,88.08,40
LTCUSD,2019-07-15 08:44:00,88.06,88.08,87.82,87.84,97
LTCUSD,2019-07-15 08:45:00,87.87,87.87,87.71,87.71,44
LTCUSD,2019-07-15 08:46:00,87.75,87.75,87.71,87.72,9
LTCUSD,2019-07-15 08:47:00,87.71,87.72,87.44,87.59,97
LTCUSD,2019-07-15 08:48:00,87.56,87.60,87.55,87.57,21
LTCUSD,2019-07-15 08:49:00,87.56,87.74,87.56,87.63,52
LTCUSD,2019-07-15 08:50:00,87.61,87.71,87.61,87.71,64
LTCUSD,2019-07-15 08:51:00,87.70,87.70,87.37,87.37,71
LTCUSD,2019-07-15 08:52:00,87.36,87.42,87.13,87.35,89
LTCUSD,2019-07-15 08:53:00,87.36,87.62,87.32,87.61,82
LTCUSD,2019-07-15 08:54:00,87.62,87.69,87.54,87.60,54
LTCUSD,2019-07-15 08:55:00,87.61,87.62,87.45,87.49,46
LTCUSD,2019-07-15 08:56:00,87.50,87.55,87.36,87.38,74
LTCUSD,2019-07-15 08:57:00,87.37,87.37,87.32,87.36,29
LTCUSD,2019-07-15 08:58:00,87.35,87.48,87.35,87.48,17
LTCUSD,2019-07-15 08:59:00,87.46,87.61,87.46,87.57,32
LTCUSD,2019-07-15 09:00:00,87.60,87.60,87.24,87.26,93
LTCUSD,2019-07-15 09:01:00,87.31,87.32,86.84,86.90,81
LTCUSD,2019-07-15 09:02:00,86.92,87.12,86.80,87.05,58
LTCUSD,2019-07-15 09:03:00,87.07,87.20,86.99,87.05,77
LTCUSD,2019-07-15 09:04:00,87.04,87.04,86.40,86.68,121
LTCUSD,2019-07-15 09:05:00,86.67,86.90,86.64,86.72,72
LTCUSD,2019-07-15 09:06:00,86.75,87.27,86.71,87.18,113
LTCUSD,2019-07-15 09:07:00,87.21,87.64,87.15,87.51,125
LTCUSD,2019-07-15 09:08:00,87.54,87.59,87.44,87.44,92
LTCUSD,2019-07-15 09:09:00,87.48,87.68,87.44,87.68,62
LTCUSD,2019-07-15 09:10:00,87.63,87.72,87.61,87.63,65
LTCUSD,2019-07-15 09:11:00,87.66,87.69,87.47,87.66,77
LTCUSD,2019-07-15 09:12:00,87.68,87.74,87.52,87.53,41
LTCUSD,2019-07-15 09:13:00,87.54,87.58,87.50,87.50,24
LTCUSD,2019-07-15 09:14:00,87.51,87.69,87.49,87.67,48
LTCUSD,2019-07-15 09:15:00,87.66,87.86,87.65,87.82,76
LTCUSD,2019-07-15 09:16:00,87.81,88.18,87.80,88.13,47
LTCUSD,2019-07-15 09:17:00,88.16,88.25,87.92,87.93,83
LTCUSD,2019-07-15 09:18:00,87.95,87.95,87.86,87.91,30
LTCUSD,2019-07-15 09:19:00,87.90,87.91,87.89,87.90,11
LTCUSD,2019-07-15 09:20:00,87.92,88.17,87.92,88.17,43
LTCUSD,2019-07-15 09:21:00,88.12,88.24,88.03,88.06,39
LTCUSD,2019-07-15 09:22:00,88.05,88.06,87.96,88.04,59
LTCUSD,2019-07-15 09:23:00,88.05,88.07,87.96,87.98,34
LTCUSD,2019-07-15 09:24:00,88.00,88.09,88.00,88.03,32
LTCUSD,2019-07-15 09:25:00,88.08,88.16,88.06,88.14,29
LTCUSD,2019-07-15 09:26:00,88.13,88.14,87.94,87.97,28
LTCUSD,2019-07-15 09:27:00,87.96,88.00,87.96,88.00,16
LTCUSD,2019-07-15 09:28:00,87.99,88.00,87.98,88.00,6
LTCUSD,2019-07-15 09:29:00,87.99,88.15,87.99,88.14,27
LTCUSD,2019-07-15 09:30:00,88.13,88.21,88.06,88.06,48
LTCUSD,2019-07-15 09:31:00,88.08,88.09,87.96,87.96,23
LTCUSD,2019-07-15 09:32:00,87.95,88.02,87.93,87.94,26
LTCUSD,2019-07-15 09:33:00,87.93,87.94,87.85,87.86,20
LTCUSD,2019-07-15 09:34:00,87.85,87.95,87.85,87.93,26
LTCUSD,2019-07-15 09:35:00,87.92,87.94,87.70,87.82,60
LTCUSD,2019-07-15 09:36:00,87.81,87.88,87.77,87.77,39
LTCUSD,2019-07-15 09:37:00,87.75,87.82,87.70,87.75,54
LTCUSD,2019-07-15 09:38:00,87.76,87.84,87.75,87.80,41
LTCUSD,2019-07-15 09:39:00,87.79,87.97,87.73,87.95,43
LTCUSD,2019-07-15 09:40:00,87.94,88.23,87.94,88.18,26
LTCUSD,2019-07-15 09:41:00,88.21,88.21,88.12,88.18,60
LTCUSD,2019-07-15 09:42:00,88.17,88.19,88.11,88.15,74
LTCUSD,2019-07-15 09:43:00,88.16,88.23,88.03,88.07,44
LTCUSD,2019-07-15 09:44:00,88.02,88.06,87.86,88.01,85
LTCUSD,2019-07-15 09:45:00,88.00,88.06,87.89,87.89,68
LTCUSD,2019-07-15 09:46:00,87.90,88.01,87.88,87.96,43
LTCUSD,2019-07-15 09:47:00,88.00,88.03,87.88,87.91,41
LTCUSD,2019-07-15 09:48:00,87.88,87.88,87.73,87.76,21
LTCUSD,2019-07-15 09:49:00,87.75,87.81,87.72,87.77,26
LTCUSD,2019-07-15 09:50:00,87.80,88.04,87.76,88.01,26
LTCUSD,2019-07-15 09:51:00,88.06,88.07,87.99,88.01,17
LTCUSD,2019-07-15 09:52:00,87.99,88.12,87.95,88.10,24
LTCUSD,2019-07-15 09:53:00,88.07,88.61,88.03,88.61,108
LTCUSD,2019-07-15 09:54:00,88.60,88.68,88.37,88.68,90
LTCUSD,2019-07-15 09:55:00,88.63,88.72,88.59,88.68,41
LTCUSD,2019-07-15 09:56:00,88.75,89.14,88.71,88.81,104
LTCUSD,2019-07-15 09:57:00,88.80,88.99,88.68,88.78,92
LTCUSD,2019-07-15 09:58:00,88.79,88.92,88.71,88.74,90
LTCUSD,2019-07-15 09:59:00,88.73,88.73,88.54,88.57,79
LTCUSD,2019-07-15 10:00:00,88.55,88.79,88.55,88.74,78
LTCUSD,2019-07-15 10:01:00,88.75,89.17,88.73,89.17,65
LTCUSD,2019-07-15 10:02:00,89.16,89.19,88.94,89.00,75
LTCUSD,2019-07-15 10:03:00,88.98,89.04,88.78,88.84,48
LTCUSD,2019-07-15 10:04:00,88.85,88.86,88.49,88.57,104
LTCUSD,2019-07-15 10:05:00,88.56,88.66,88.52,88.60,33
LTCUSD,2019-07-15 10:06:00,88.59,88.65,88.55,88.63,35
LTCUSD,2019-07-15 10:07:00,88.64,88.85,88.63,88.83,74
LTCUSD,2019-07-15 10:08:00,88.82,88.91,88.79,88.83,50
LTCUSD,2019-07-15 10:09:00,88.82,88.92,88.78,88.92,40
LTCUSD,2019-07-15 10:10:00,88.93,89.01,88.88,88.94,73
LTCUSD,2019-07-15 10:11:00,88.92,88.94,88.87,88.91,47
LTCUSD,2019-07-15 10:12:00,88.90,88.90,88.65,88.66,42
LTCUSD,2019-07-15 10:13:00,88.67,88.68,88.56,88.60,79
LTCUSD,2019-07-15 10:14:00,88.59,88.62,88.46,88.52,44
LTCUSD,2019-07-15 10:15:00,88.51,88.51,88.46,88.48,47
LTCUSD,2019-07-15 10:16:00,88.45,88.52,88.37,88.41,78
LTCUSD,2019-07-15 10:17:00,88.40,88.43,88.39,88.42,36
LTCUSD,2019-07-15 10:18:00,88.41,88.44,88.26,88.27,41
LTCUSD,2019-07-15 10:19:00,88.26,88.27,88.19,88.23,26
LTCUSD,2019-07-15 10:20:00,88.21,88.24,88.03,88.06,65
LTCUSD,2019-07-15 10:21:00,88.04,88.15,88.02,88.04,67
LTCUSD,2019-07-15 10:22:00,88.03,88.07,87.84,87.88,61
LTCUSD,2019-07-15 10:23:00,87.87,87.88,87.83,87.86,27
LTCUSD,2019-07-15 10:24:00,87.85,87.96,87.84,87.85,48
LTCUSD,2019-07-15 10:25:00,87.84,87.99,87.83,87.99,28
LTCUSD,2019-07-15 10:26:00,88.01,88.14,88.01,88.14,38
