EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
NZDCAD,2019-09-01 20:00:00,0.83911,0.83911,0.83911,0.83911,1
NZDCAD,2019-09-01 20:01:00,0.83912,0.83912,0.83912,0.83912,1
NZDCAD,2019-09-01 20:02:00,0.83913,0.83953,0.83913,0.83951,6
NZDCAD,2019-09-01 20:03:00,0.83947,0.83997,0.83947,0.83996,6
NZDCAD,2019-09-01 20:04:00,0.84010,0.84033,0.84010,0.84018,4
NZDCAD,2019-09-01 20:05:00,0.84016,0.84016,0.84002,0.84003,4
NZDCAD,2019-09-01 20:06:00,,,,,
NZDCAD,2019-09-01 20:07:00,0.84004,0.84004,0.84004,0.84004,1
NZDCAD,2019-09-01 20:08:00,,,,,
NZDCAD,2019-09-01 20:09:00,,,,,
NZDCAD,2019-09-01 20:10:00,0.84003,0.84003,0.84003,0.84003,
NZDCAD,2019-09-01 20:11:00,,,,,
NZDCAD,2019-09-01 20:12:00,,,,,
NZDCAD,2019-09-01 20:13:00,0.84022,0.84022,0.84004,0.84004,2
NZDCAD,2019-09-01 20:14:00,,,,,
NZDCAD,2019-09-01 20:15:00,,,,,
NZDCAD,2019-09-01 20:16:00,,,0.84022,0.84022,1
NZDCAD,2019-09-01 20:17:00,,,0.84022,0.84022,1
NZDCAD,2019-09-01 20:18:00,,,,,
NZDCAD,2019-09-01 20:19:00,0.84005,0.84005,0.84005,0.84005,
NZDCAD,2019-09-01 20:20:00,0.83958,0.83958,0.83912,0.83924,4
NZDCAD,2019-09-01 20:21:00,0.83923,0.83998,0.83923,0.83998,6
NZDCAD,2019-09-01 20:22:00,,,,,
NZDCAD,2019-09-01 20:23:00,0.83950,0.83955,0.83945,0.83945,4
NZDCAD,2019-09-01 20:24:00,0.83944,0.83953,0.83944,0.83953,3
NZDCAD,2019-09-01 20:25:00,0.83952,0.83952,0.83939,0.83952,3
NZDCAD,2019-09-01 20:26:00,,,,,
NZDCAD,2019-09-01 20:27:00,0.83921,0.83921,0.83921,0.83921,1
NZDCAD,2019-09-01 20:28:00,0.83919,0.83919,0.83919,0.83919,1
NZDCAD,2019-09-01 20:29:00,0.83906,0.83906,0.83906,0.83906,1
NZDCAD,2019-09-01 20:30:00,0.83899,0.83899,0.83899,0.83899,1
NZDCAD,2019-09-01 20:31:00,,,,,
NZDCAD,2019-09-01 20:32:00,,,,,
NZDCAD,2019-09-01 20:33:00,0.83835,0.83835,0.83835,0.83835,
NZDCAD,2019-09-01 20:34:00,,,,,
NZDCAD,2019-09-01 20:35:00,0.83742,0.83844,0.83742,0.83844,2
NZDCAD,2019-09-01 20:36:00,0.83856,0.83856,0.83856,0.83856,1
NZDCAD,2019-09-01 20:37:00,0.83857,0.83857,0.83857,0.83857,1
NZDCAD,2019-09-01 20:38:00,,,,,
NZDCAD,2019-09-01 20:39:00,,,,,
NZDCAD,2019-09-01 20:40:00,0.83826,0.83861,0.83826,0.83861,2
NZDCAD,2019-09-01 20:41:00,,,,,
NZDCAD,2019-09-01 20:42:00,,,,,
NZDCAD,2019-09-01 20:43:00,0.83829,0.83829,0.83829,0.83829,1
NZDCAD,2019-09-01 20:44:00,0.83861,0.83861,0.83861,0.83861,1
NZDCAD,2019-09-01 20:45:00,0.83829,0.83837,0.83829,0.83837,3
NZDCAD,2019-09-01 20:46:00,,,,,
NZDCAD,2019-09-01 20:47:00,,,,,
NZDCAD,2019-09-01 20:48:00,,,,,
NZDCAD,2019-09-01 20:49:00,,,,,
NZDCAD,2019-09-01 20:50:00,,,,,
NZDCAD,2019-09-01 20:51:00,,,,,
NZDCAD,2019-09-01 20:52:00,,,,,
NZDCAD,2019-09-01 20:53:00,,,,,
NZDCAD,2019-09-01 20:54:00,,,,,
NZDCAD,2019-09-01 20:55:00,0.83849,0.83871,0.83849,0.83856,5
NZDCAD,2019-09-01 20:56:00,0.83836,0.83849,0.83836,0.83849,2
NZDCAD,2019-09-01 20:57:00,,,,,
NZDCAD,2019-09-01 20:58:00,,,,,
NZDCAD,2019-09-01 20:59:00,0.83844,0.83844,0.83844,0.83844,1
NZDCAD,2019-09-01 21:00:00,,,,,
NZDCAD,2019-09-01 21:01:00,0.83839,0.83839,0.83839,0.83839,
NZDCAD,2019-09-01 21:02:00,0.83799,0.83799,0.83799,0.83799,
NZDCAD,2019-09-01 21:03:00,0.83899,0.83899,0.83899,0.83899,
NZDCAD,2019-09-01 21:04:00,0.83902,0.83902,0.83799,0.83799,3
NZDCAD,2019-09-01 21:05:00,0.83898,0.83899,0.83799,0.83899,3
NZDCAD,2019-09-01 21:06:00,0.83799,0.83901,0.83799,0.83900,9
NZDCAD,2019-09-01 21:07:00,0.83902,0.83908,0.83765,0.83765,8
NZDCAD,2019-09-01 21:08:00,,,,,
NZDCAD,2019-09-01 21:09:00,,,,,
NZDCAD,2019-09-01 21:10:00,0.83887,0.83908,0.83765,0.83765,7
NZDCAD,2019-09-01 21:11:00,0.83813,0.83899,0.83813,0.83899,2
NZDCAD,2019-09-01 21:12:00,0.83813,0.83813,0.83813,0.83813,1
NZDCAD,2019-09-01 21:13:00,0.83900,0.83900,0.83900,0.83900,1
NZDCAD,2019-09-01 21:14:00,0.83813,0.83813,0.83813,0.83813,1
NZDCAD,2019-09-01 21:15:00,,,,,
NZDCAD,2019-09-01 21:16:00,0.83823,0.83823,0.83815,0.83815,2
NZDCAD,2019-09-01 21:17:00,,,,,
NZDCAD,2019-09-01 21:18:00,0.83875,0.83880,0.83875,0.83880,4
NZDCAD,2019-09-01 21:19:00,0.83782,0.83882,0.83782,0.83790,7
NZDCAD,2019-09-01 21:20:00,0.83880,0.83880,0.83880,0.83880,1
NZDCAD,2019-09-01 21:21:00,0.83877,0.83877,0.83877,0.83877,1
NZDCAD,2019-09-01 21:22:00,,,,,
NZDCAD,2019-09-01 21:23:00,0.83872,0.83872,0.83798,0.83798,2
NZDCAD,2019-09-01 21:24:00,,,,,
NZDCAD,2019-09-01 21:25:00,,,,,
NZDCAD,2019-09-01 21:26:00,0.83874,0.83892,0.83807,0.83834,6
NZDCAD,2019-09-01 21:27:00,0.83891,0.83891,0.83832,0.83832,3
NZDCAD,2019-09-01 21:28:00,0.83887,0.83887,0.83832,0.83832,2
NZDCAD,2019-09-01 21:29:00,0.83868,0.83891,0.83867,0.83891,5
NZDCAD,2019-09-01 21:30:00,0.83892,0.83892,0.83869,0.83869,12
NZDCAD,2019-09-01 21:31:00,0.83877,0.83877,0.83868,0.83873,8
NZDCAD,2019-09-01 21:32:00,0.83870,0.83873,0.83868,0.83868,6
NZDCAD,2019-09-01 21:33:00,0.83869,0.83879,0.83868,0.83868,7
NZDCAD,2019-09-01 21:34:00,0.83869,0.83873,0.83868,0.83868,6
NZDCAD,2019-09-01 21:35:00,0.83873,0.83907,0.83870,0.83906,10
NZDCAD,2019-09-01 21:36:00,0.83903,0.83903,0.83898,0.83900,4
NZDCAD,2019-09-01 21:37:00,0.83890,0.83896,0.83887,0.83896,6
NZDCAD,2019-09-01 21:38:00,0.83884,0.83899,0.83884,0.83899,4
NZDCAD,2019-09-01 21:39:00,0.83905,0.83905,0.83905,0.83905,1
NZDCAD,2019-09-01 21:40:00,0.83898,0.83905,0.83898,0.83905,3
NZDCAD,2019-09-01 21:41:00,0.83906,0.83906,0.83902,0.83906,3
NZDCAD,2019-09-01 21:42:00,0.83911,0.83915,0.83906,0.83915,5
