EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
NZDEUR,2019-09-01 20:00:00,0.57266,0.57273,0.57264,0.57269,9
NZDEUR,2019-09-01 20:01:00,0.57268,0.57300,0.57210,0.57293,57
NZDEUR,2019-09-01 20:02:00,0.57284,0.57323,0.57281,0.57322,28
NZDEUR,2019-09-01 20:03:00,0.57320,0.57384,0.57264,0.57352,36
NZDEUR,2019-09-01 20:04:00,0.57331,0.57395,0.57331,0.57386,18
NZDEUR,2019-09-01 20:05:00,0.57385,0.57387,0.57349,0.57354,26
NZDEUR,2019-09-01 20:06:00,0.57364,0.57387,0.57364,0.57387,12
NZDEUR,2019-09-01 20:07:00,0.57388,0.57414,0.57332,0.57372,15
NZDEUR,2019-09-01 20:08:00,0.57366,0.57408,0.57311,0.57380,15
NZDEUR,2019-09-01 20:09:00,0.57396,0.57408,0.57396,0.57408,5
NZDEUR,2019-09-01 20:10:00,0.57382,0.57393,0.57366,0.57378,8
NZDEUR,2019-09-01 20:11:00,0.57393,0.57393,0.57337,0.57376,6
NZDEUR,2019-09-01 20:12:00,0.57379,0.57392,0.57338,0.57372,20
NZDEUR,2019-09-01 20:13:00,0.57401,0.57401,0.57378,0.57378,8
NZDEUR,2019-09-01 20:14:00,0.57394,0.57399,0.57378,0.57378,10
NZDEUR,2019-09-01 20:15:00,0.57400,0.57401,0.57375,0.57381,21
NZDEUR,2019-09-01 20:16:00,0.57384,0.57413,0.57359,0.57407,8
NZDEUR,2019-09-01 20:17:00,0.57413,0.57413,0.57389,0.57410,6
NZDEUR,2019-09-01 20:18:00,0.57364,0.57412,0.57364,0.57396,9
NZDEUR,2019-09-01 20:19:00,0.57395,0.57427,0.57372,0.57400,6
NZDEUR,2019-09-01 20:20:00,0.57386,0.57393,0.57221,0.57292,18
NZDEUR,2019-09-01 20:21:00,0.57275,0.57381,0.57249,0.57376,43
NZDEUR,2019-09-01 20:22:00,0.57378,0.57383,0.57347,0.57347,10
NZDEUR,2019-09-01 20:23:00,0.57351,0.57382,0.57288,0.57345,16
NZDEUR,2019-09-01 20:24:00,0.57314,0.57347,0.57249,0.57344,10
NZDEUR,2019-09-01 20:25:00,0.57346,0.57348,0.57249,0.57320,12
NZDEUR,2019-09-01 20:26:00,0.57253,0.57253,0.57253,0.57253,1
NZDEUR,2019-09-01 20:27:00,0.57249,0.57249,0.57249,0.57249,1
NZDEUR,2019-09-01 20:28:00,0.57315,0.57345,0.57315,0.57345,3
NZDEUR,2019-09-01 20:29:00,0.57318,0.57337,0.57316,0.57337,4
NZDEUR,2019-09-01 20:30:00,0.57253,0.57339,0.57253,0.57254,7
NZDEUR,2019-09-01 20:31:00,0.57335,0.57335,0.57275,0.57275,2
NZDEUR,2019-09-01 20:32:00,0.57334,0.57334,0.57332,0.57332,2
NZDEUR,2019-09-01 20:33:00,0.57334,0.57334,0.57275,0.57332,10
NZDEUR,2019-09-01 20:34:00,0.57275,0.57275,0.57275,0.57275,1
NZDEUR,2019-09-01 20:35:00,0.57202,0.57291,0.57202,0.57255,7
NZDEUR,2019-09-01 20:36:00,0.57239,0.57286,0.57239,0.57269,8
NZDEUR,2019-09-01 20:37:00,0.57267,0.57293,0.57259,0.57290,11
NZDEUR,2019-09-01 20:38:00,0.57262,0.57293,0.57262,0.57293,3
NZDEUR,2019-09-01 20:39:00,0.57291,0.57291,0.57263,0.57263,4
NZDEUR,2019-09-01 20:40:00,0.57262,0.57262,0.57262,0.57262,1
NZDEUR,2019-09-01 20:41:00,0.57261,0.57290,0.57254,0.57271,5
NZDEUR,2019-09-01 20:42:00,0.57255,0.57290,0.57255,0.57258,6
NZDEUR,2019-09-01 20:43:00,0.57259,0.57267,0.57259,0.57267,5
NZDEUR,2019-09-01 20:44:00,0.57258,0.57283,0.57258,0.57283,2
NZDEUR,2019-09-01 20:45:00,0.57274,0.57306,0.57254,0.57267,11
NZDEUR,2019-09-01 20:46:00,0.57256,0.57267,0.57256,0.57267,4
NZDEUR,2019-09-01 20:47:00,0.57271,0.57272,0.57270,0.57270,5
NZDEUR,2019-09-01 20:48:00,0.57271,0.57275,0.57269,0.57275,5
NZDEUR,2019-09-01 20:49:00,0.57278,0.57278,0.57278,0.57278,1
NZDEUR,2019-09-01 20:50:00,0.57268,0.57278,0.57268,0.57278,3
NZDEUR,2019-09-01 20:51:00,,,,,
NZDEUR,2019-09-01 20:52:00,0.57269,0.57278,0.57269,0.57278,5
NZDEUR,2019-09-01 20:53:00,,,,,
NZDEUR,2019-09-01 20:54:00,,0.57269,,0.57269,2
NZDEUR,2019-09-01 20:55:00,0.57270,0.57277,0.57268,0.57277,9
NZDEUR,2019-09-01 20:56:00,0.57285,0.57285,0.57268,0.57282,9
NZDEUR,2019-09-01 20:57:00,0.57287,0.57287,0.57278,0.57278,3
NZDEUR,2019-09-01 20:58:00,0.57287,0.57287,0.57286,0.57286,2
NZDEUR,2019-09-01 20:59:00,0.57285,0.57286,0.57278,0.57278,3
NZDEUR,2019-09-01 21:00:00,0.57286,0.57286,0.57278,0.57278,7
NZDEUR,2019-09-01 21:01:00,0.57280,0.57280,0.57273,0.57278,10
NZDEUR,2019-09-01 21:02:00,0.57305,0.57307,0.57302,0.57302,7
NZDEUR,2019-09-01 21:03:00,0.57301,0.57306,0.57296,0.57306,5
NZDEUR,2019-09-01 21:04:00,0.57244,0.57307,0.57239,0.57307,12
NZDEUR,2019-09-01 21:05:00,0.57294,0.57305,0.57233,0.57285,81
NZDEUR,2019-09-01 21:06:00,0.57269,0.57308,0.57235,0.57303,64
NZDEUR,2019-09-01 21:07:00,0.57290,0.57305,0.57269,0.57279,89
NZDEUR,2019-09-01 21:08:00,0.57304,0.57309,0.57255,0.57258,48
NZDEUR,2019-09-01 21:09:00,0.57268,0.57311,0.57256,0.57296,17
NZDEUR,2019-09-01 21:10:00,0.57294,0.57321,0.57247,0.57316,50
