EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
NZDGBP,2019-09-01 20:00:00,0.51831,0.51831,0.51826,0.51830,7
NZDGBP,2019-09-01 20:01:00,0.51824,0.51864,0.51820,0.51855,9
NZDGBP,2019-09-01 20:02:00,0.51871,0.51890,0.51814,0.51889,13
NZDGBP,2019-09-01 20:03:00,0.51887,0.51917,0.51854,0.51886,23
NZDGBP,2019-09-01 20:04:00,0.51923,0.51930,0.51877,0.51911,35
NZDGBP,2019-09-01 20:05:00,0.51920,0.51927,0.51876,0.51876,18
NZDGBP,2019-09-01 20:06:00,0.51923,0.51923,0.51889,0.51910,6
NZDGBP,2019-09-01 20:07:00,0.51892,0.51901,0.51892,0.51900,8
NZDGBP,2019-09-01 20:08:00,0.51896,0.51904,0.51894,0.51894,8
NZDGBP,2019-09-01 20:09:00,0.51882,0.51901,0.51830,0.51854,12
NZDGBP,2019-09-01 20:10:00,0.51857,0.51858,0.51854,0.51858,6
NZDGBP,2019-09-01 20:11:00,0.51863,0.51864,0.51863,0.51864,3
NZDGBP,2019-09-01 20:12:00,0.51862,0.51864,0.51862,0.51864,3
NZDGBP,2019-09-01 20:13:00,,,,,
NZDGBP,2019-09-01 20:14:00,0.51863,0.51864,0.51863,0.51864,4
NZDGBP,2019-09-01 20:15:00,0.51865,0.51865,0.51858,0.51858,3
NZDGBP,2019-09-01 20:16:00,0.51859,0.51859,0.51858,0.51858,4
NZDGBP,2019-09-01 20:17:00,0.51857,0.51858,0.51857,0.51858,3
NZDGBP,2019-09-01 20:18:00,0.51859,0.51859,0.51857,0.51857,6
NZDGBP,2019-09-01 20:19:00,0.51860,0.51861,0.51854,0.51854,3
NZDGBP,2019-09-01 20:20:00,0.51872,0.51872,0.51740,0.51769,18
NZDGBP,2019-09-01 20:21:00,0.51778,0.51897,0.51778,0.51841,15
NZDGBP,2019-09-01 20:22:00,0.51846,0.51897,0.51837,0.51897,5
NZDGBP,2019-09-01 20:23:00,0.51845,0.51877,0.51782,0.51864,7
NZDGBP,2019-09-01 20:24:00,0.51869,0.51869,0.51809,0.51809,4
