EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
NZDJPY,2019-09-01 20:00:00,66.763,66.791,66.740,66.740,15
NZDJPY,2019-09-01 20:01:00,66.794,66.836,66.733,66.836,34
NZDJPY,2019-09-01 20:02:00,66.835,66.868,66.779,66.850,40
NZDJPY,2019-09-01 20:03:00,66.832,66.978,66.772,66.800,47
NZDJPY,2019-09-01 20:04:00,66.849,66.943,66.794,66.837,23
NZDJPY,2019-09-01 20:05:00,66.841,66.933,66.841,66.925,35
NZDJPY,2019-09-01 20:06:00,66.924,66.924,66.900,66.922,9
NZDJPY,2019-09-01 20:07:00,66.923,66.923,66.906,66.919,8
NZDJPY,2019-09-01 20:08:00,66.910,66.927,66.910,66.927,8
NZDJPY,2019-09-01 20:09:00,66.924,66.927,66.924,66.926,7
NZDJPY,2019-09-01 20:10:00,66.916,66.927,66.916,66.927,3
NZDJPY,2019-09-01 20:11:00,,,,,
NZDJPY,2019-09-01 20:12:00,66.924,66.943,66.886,66.928,19
NZDJPY,2019-09-01 20:13:00,66.891,66.928,66.891,66.928,6
NZDJPY,2019-09-01 20:14:00,66.916,66.928,66.915,66.928,4
NZDJPY,2019-09-01 20:15:00,66.926,66.928,66.893,66.928,5
NZDJPY,2019-09-01 20:16:00,66.893,66.928,66.893,66.928,4
NZDJPY,2019-09-01 20:17:00,66.893,66.928,66.893,66.928,4
NZDJPY,2019-09-01 20:18:00,66.893,66.928,66.893,66.893,6
NZDJPY,2019-09-01 20:19:00,66.928,66.928,66.893,66.912,5
NZDJPY,2019-09-01 20:20:00,66.893,66.909,66.714,66.821,26
NZDJPY,2019-09-01 20:21:00,66.740,66.940,66.740,66.912,41
NZDJPY,2019-09-01 20:22:00,66.906,66.939,66.880,66.939,18
NZDJPY,2019-09-01 20:23:00,66.938,66.938,66.784,66.897,15
NZDJPY,2019-09-01 20:24:00,66.841,66.899,66.790,66.899,11
NZDJPY,2019-09-01 20:25:00,66.882,66.882,66.783,66.791,26
NZDJPY,2019-09-01 20:26:00,66.792,66.792,66.791,66.792,3
NZDJPY,2019-09-01 20:27:00,66.882,66.882,66.877,66.877,2
NZDJPY,2019-09-01 20:28:00,66.799,66.881,66.799,66.880,3
NZDJPY,2019-09-01 20:29:00,66.805,66.883,66.799,66.801,13
NZDJPY,2019-09-01 20:30:00,66.766,66.867,66.766,66.861,4
NZDJPY,2019-09-01 20:31:00,66.766,66.789,66.766,66.789,2
NZDJPY,2019-09-01 20:32:00,,,,,
NZDJPY,2019-09-01 20:33:00,66.798,66.798,66.794,66.798,5
NZDJPY,2019-09-01 20:34:00,66.800,66.805,66.764,66.789,5
NZDJPY,2019-09-01 20:35:00,66.709,66.826,66.709,66.738,6
NZDJPY,2019-09-01 20:36:00,66.740,66.835,66.740,66.772,9
NZDJPY,2019-09-01 20:37:00,66.770,66.837,66.760,66.779,22
NZDJPY,2019-09-01 20:38:00,66.837,66.837,66.779,66.779,3
NZDJPY,2019-09-01 20:39:00,66.837,66.837,66.837,66.837,1
NZDJPY,2019-09-01 20:40:00,66.779,66.779,66.779,66.779,1
NZDJPY,2019-09-01 20:41:00,66.758,66.779,66.758,66.779,2
NZDJPY,2019-09-01 20:42:00,66.837,66.837,66.832,66.836,4
NZDJPY,2019-09-01 20:43:00,66.833,66.833,66.779,66.779,3
NZDJPY,2019-09-01 20:44:00,66.753,66.778,66.750,66.750,4
NZDJPY,2019-09-01 20:45:00,66.751,66.792,66.751,66.788,12
NZDJPY,2019-09-01 20:46:00,66.794,66.794,66.762,66.794,4
NZDJPY,2019-09-01 20:47:00,66.770,66.793,66.770,66.793,5
NZDJPY,2019-09-01 20:48:00,66.794,66.794,66.794,66.794,1
NZDJPY,2019-09-01 20:49:00,,,,,
NZDJPY,2019-09-01 20:50:00,,,,,
NZDJPY,2019-09-01 20:51:00,,,,,
NZDJPY,2019-09-01 20:52:00,66.763,66.794,66.763,66.794,2
NZDJPY,2019-09-01 20:53:00,66.775,66.794,66.775,66.794,3
NZDJPY,2019-09-01 20:54:00,,,,,
NZDJPY,2019-09-01 20:55:00,66.789,66.794,66.787,66.791,6
NZDJPY,2019-09-01 20:56:00,66.793,66.793,66.771,66.774,9
NZDJPY,2019-09-01 20:57:00,66.770,66.780,66.770,66.779,4
NZDJPY,2019-09-01 20:58:00,66.780,66.780,66.778,66.778,2
NZDJPY,2019-09-01 20:59:00,66.781,66.831,66.781,66.831,2
NZDJPY,2019-09-01 21:00:00,66.829,66.829,66.728,66.728,15
NZDJPY,2019-09-01 21:01:00,66.764,66.767,66.750,66.759,24
NZDJPY,2019-09-01 21:02:00,66.756,66.756,66.719,66.719,6
NZDJPY,2019-09-01 21:03:00,66.725,66.738,66.719,66.735,10
