EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
NZDUSD,2019-07-14 20:00:00,0.66820,0.66820,0.66775,0.66775,2
NZDUSD,2019-07-14 20:02:00,0.66819,0.66819,0.66775,0.66819,3
NZDUSD,2019-07-14 20:05:00,0.66775,0.66839,0.66775,0.66789,8
NZDUSD,2019-07-14 20:06:00,0.66840,0.66840,0.66840,0.66840,1
NZDUSD,2019-07-14 20:07:00,0.66834,0.66834,0.66789,0.66789,2
NZDUSD,2019-07-14 20:08:00,0.66838,0.66838,0.66789,0.66789,4
NZDUSD,2019-07-14 20:09:00,0.66839,0.66839,0.66839,0.66839,1
NZDUSD,2019-07-14 20:13:00,0.66789,0.66789,0.66789,0.66789,
NZDUSD,2019-07-14 20:14:00,0.66839,0.66839,0.66789,0.66789,2
NZDUSD,2019-07-14 20:15:00,0.66840,0.66874,0.66781,0.66781,15
NZDUSD,2019-07-14 20:16:00,0.66780,0.66801,0.66780,0.66780,4
NZDUSD,2019-07-14 20:17:00,0.66830,0.66830,0.66812,0.66830,3
NZDUSD,2019-07-14 20:18:00,0.66800,0.66864,0.66789,0.66864,13
NZDUSD,2019-07-14 20:19:00,0.66810,0.66828,0.66810,0.66810,3
NZDUSD,2019-07-14 20:20:00,0.66865,0.66865,0.66810,0.66810,3
NZDUSD,2019-07-14 20:21:00,0.66816,0.66816,0.66816,0.66816,1
NZDUSD,2019-07-14 20:23:00,0.66865,0.66865,0.66865,0.66865,
NZDUSD,2019-07-14 20:26:00,0.66810,0.66864,0.66810,0.66810,3
NZDUSD,2019-07-14 20:27:00,0.66864,0.66864,0.66810,0.66810,2
NZDUSD,2019-07-14 20:29:00,0.66864,0.66864,0.66864,0.66864,1
NZDUSD,2019-07-14 20:30:00,0.66810,0.66810,0.66810,0.66810,1
NZDUSD,2019-07-14 20:31:00,0.66864,0.66864,0.66810,0.66810,2
NZDUSD,2019-07-14 20:32:00,0.66864,0.66864,0.66810,0.66810,2
NZDUSD,2019-07-14 20:33:00,0.66864,0.66864,0.66864,0.66864,1
NZDUSD,2019-07-14 20:37:00,0.66865,0.66865,0.66865,0.66865,1
NZDUSD,2019-07-14 20:38:00,0.66863,0.66863,0.66863,0.66863,1
NZDUSD,2019-07-14 20:43:00,0.66878,0.66878,0.66810,0.66817,9
NZDUSD,2019-07-14 20:44:00,0.66799,0.66815,0.66799,0.66799,4
NZDUSD,2019-07-14 20:46:00,0.66818,0.66863,0.66816,0.66842,4
NZDUSD,2019-07-14 20:47:00,0.66810,0.66810,0.66810,0.66810,1
NZDUSD,2019-07-14 20:48:00,0.66863,0.66863,0.66863,0.66863,1
NZDUSD,2019-07-14 20:52:00,0.66862,0.66862,0.66862,0.66862,1
NZDUSD,2019-07-14 20:53:00,0.66863,0.66863,0.66863,0.66863,1
NZDUSD,2019-07-14 20:58:00,0.66868,0.66868,0.66868,0.66868,
NZDUSD,2019-07-14 20:59:00,0.66859,0.66859,0.66859,0.66859,
NZDUSD,2019-07-14 21:00:00,0.66815,0.66859,0.66815,0.66815,4
NZDUSD,2019-07-14 21:01:00,0.66833,0.66836,0.66815,0.66815,5
NZDUSD,2019-07-14 21:02:00,0.66838,0.66838,0.66815,0.66815,3
NZDUSD,2019-07-14 21:03:00,0.66868,0.66868,0.66815,0.66868,16
NZDUSD,2019-07-14 21:04:00,0.66867,0.66867,0.66834,0.66845,13
NZDUSD,2019-07-14 21:05:00,0.66867,0.66867,0.66815,0.66821,34
NZDUSD,2019-07-14 21:06:00,0.66818,0.66869,0.66818,0.66863,15
NZDUSD,2019-07-14 21:07:00,0.66851,0.66863,0.66842,0.66847,10
NZDUSD,2019-07-14 21:08:00,0.66859,0.66866,0.66815,0.66866,10
NZDUSD,2019-07-14 21:09:00,0.66838,0.66865,0.66815,0.66838,11
NZDUSD,2019-07-14 21:10:00,0.66829,0.66880,0.66815,0.66880,38
NZDUSD,2019-07-14 21:11:00,0.66879,0.66883,0.66843,0.66866,31
NZDUSD,2019-07-14 21:12:00,0.66856,0.66877,0.66852,0.66865,13
NZDUSD,2019-07-14 21:13:00,0.66862,0.66882,0.66840,0.66840,13
NZDUSD,2019-07-14 21:14:00,0.66882,0.66882,0.66815,0.66842,13
NZDUSD,2019-07-14 21:15:00,0.66847,0.66875,0.66840,0.66855,32
NZDUSD,2019-07-14 21:16:00,0.66856,0.66864,0.66823,0.66829,44
NZDUSD,2019-07-14 21:17:00,0.66830,0.66860,0.66818,0.66852,15
NZDUSD,2019-07-14 21:18:00,0.66853,0.66860,0.66838,0.66845,19
