EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
USDCAD,2019-07-14 20:00:00,1.30305,1.30305,1.30305,1.30305,1
USDCAD,2019-07-14 20:04:00,1.30290,1.30290,1.30290,1.30290,1
USDCAD,2019-07-14 20:05:00,1.30305,1.30320,1.30290,1.30311,5
USDCAD,2019-07-14 20:07:00,1.30320,,1.30311,1.30311,3
USDCAD,2019-07-14 20:08:00,1.30320,,1.30319,1.30320,3
USDCAD,2019-07-14 20:27:00,1.30311,1.30311,1.30311,1.30311,1
USDCAD,2019-07-14 20:28:00,1.30320,1.30320,1.30311,1.30320,3
USDCAD,2019-07-14 20:30:00,1.30311,1.30320,1.30311,1.30320,2
USDCAD,2019-07-14 20:31:00,1.30311,1.30311,1.30311,1.30311,1
USDCAD,2019-07-14 20:33:00,1.30320,1.30320,1.30320,1.30320,1
USDCAD,2019-07-14 20:38:00,1.30315,1.30340,1.30247,1.30321,18
USDCAD,2019-07-14 20:39:00,1.30316,1.30316,1.30272,1.30272,2
USDCAD,2019-07-14 20:41:00,1.30321,1.30321,1.30321,1.30321,1
USDCAD,2019-07-14 20:43:00,1.30311,1.30311,1.30311,1.30311,1
USDCAD,2019-07-14 20:44:00,1.30321,1.30321,1.30311,1.30311,2
USDCAD,2019-07-14 20:46:00,,,1.30311,1.30311,2
USDCAD,2019-07-14 20:47:00,,1.30345,1.30272,1.30311,15
USDCAD,2019-07-14 20:48:00,1.30272,1.30322,1.30272,1.30322,4
USDCAD,2019-07-14 20:53:00,1.30323,1.30323,1.30323,1.30323,1
USDCAD,2019-07-14 20:54:00,1.30322,1.30322,1.30322,1.30322,1
USDCAD,2019-07-14 20:58:00,1.30327,1.30327,1.30327,1.30327,
USDCAD,2019-07-14 20:59:00,1.30318,1.30318,1.30316,1.30316,2
USDCAD,2019-07-14 21:00:00,1.30318,1.30318,1.30215,1.30313,62
USDCAD,2019-07-14 21:01:00,1.30310,1.30313,1.30276,1.30304,58
USDCAD,2019-07-14 21:02:00,1.30301,1.30326,1.30287,1.30311,19
USDCAD,2019-07-14 21:03:00,1.30325,1.30325,1.30311,1.30311,2
USDCAD,2019-07-14 21:04:00,1.30278,1.30323,1.30272,1.30323,26
USDCAD,2019-07-14 21:05:00,1.30320,1.30327,1.30269,1.30277,78
USDCAD,2019-07-14 21:06:00,1.30278,1.30326,1.30276,1.30284,41
USDCAD,2019-07-14 21:07:00,1.30297,1.30327,1.30297,1.30327,16
USDCAD,2019-07-14 21:08:00,1.30328,1.30330,1.30313,1.30313,7
USDCAD,2019-07-14 21:09:00,1.30288,1.30326,1.30278,1.30326,51
USDCAD,2019-07-14 21:10:00,1.30325,1.30333,1.30276,1.30333,24
USDCAD,2019-07-14 21:11:00,1.30331,1.30331,1.30284,1.30330,23
USDCAD,2019-07-14 21:12:00,1.30328,1.30331,1.30301,1.30331,19
USDCAD,2019-07-14 21:13:00,1.30332,1.30332,1.30266,1.30330,13
USDCAD,2019-07-14 21:14:00,1.30279,1.30316,1.30266,1.30273,21
USDCAD,2019-07-14 21:15:00,1.30329,1.30330,1.30303,1.30330,18
USDCAD,2019-07-14 21:16:00,1.30325,1.30329,1.30265,1.30275,20
USDCAD,2019-07-14 21:17:00,1.30326,1.30330,1.30269,1.30326,15
USDCAD,2019-07-14 21:18:00,1.30330,1.30330,1.30265,1.30275,15
USDCAD,2019-07-14 21:19:00,1.30323,1.30325,1.30265,1.30310,41
USDCAD,2019-07-14 21:20:00,1.30312,1.30324,1.30267,1.30284,41
USDCAD,2019-07-14 21:21:00,1.30285,1.30291,1.30283,1.30283,8
USDCAD,2019-07-14 21:22:00,1.30287,1.30330,1.30275,1.30278,22
