EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
USDJPY,2019-09-01 20:00:00,105.986,105.986,105.952,105.952,19
USDJPY,2019-09-01 20:01:00,105.961,106.030,105.953,106.029,26
USDJPY,2019-09-01 20:02:00,106.030,106.070,106.017,106.039,28
USDJPY,2019-09-01 20:03:00,106.058,106.170,105.965,105.965,36
USDJPY,2019-09-01 20:04:00,105.959,106.031,105.936,105.936,17
USDJPY,2019-09-01 20:05:00,105.951,106.043,105.946,106.040,24
USDJPY,2019-09-01 20:06:00,106.041,106.043,106.040,106.043,4
USDJPY,2019-09-01 20:07:00,,,,,
USDJPY,2019-09-01 20:08:00,,106.052,106.037,106.052,4
USDJPY,2019-09-01 20:09:00,106.045,106.046,106.045,106.046,2
USDJPY,2019-09-01 20:10:00,106.024,106.052,106.024,106.052,3
USDJPY,2019-09-01 20:11:00,106.043,106.045,106.043,106.045,3
USDJPY,2019-09-01 20:12:00,106.048,106.086,106.028,106.052,17
USDJPY,2019-09-01 20:13:00,106.027,106.052,106.027,106.052,5
USDJPY,2019-09-01 20:14:00,106.051,106.052,106.051,106.052,2
USDJPY,2019-09-01 20:15:00,106.051,106.052,106.029,106.052,7
USDJPY,2019-09-01 20:16:00,106.030,106.052,106.029,106.052,6
USDJPY,2019-09-01 20:17:00,106.030,106.052,106.029,106.052,5
USDJPY,2019-09-01 20:18:00,106.030,106.052,106.029,106.052,5
USDJPY,2019-09-01 20:19:00,106.029,106.052,106.029,106.052,7
USDJPY,2019-09-01 20:20:00,106.029,106.099,106.029,106.099,23
USDJPY,2019-09-01 20:21:00,106.093,106.142,106.053,106.079,34
USDJPY,2019-09-01 20:22:00,106.078,106.084,106.058,106.082,14
USDJPY,2019-09-01 20:23:00,106.086,106.099,106.079,106.095,8
USDJPY,2019-09-01 20:24:00,106.100,106.101,106.099,106.100,5
USDJPY,2019-09-01 20:25:00,106.098,106.098,106.034,106.055,16
USDJPY,2019-09-01 20:26:00,106.048,106.055,106.048,106.055,5
USDJPY,2019-09-01 20:27:00,106.050,106.055,106.034,106.055,4
USDJPY,2019-09-01 20:28:00,106.050,106.053,106.050,106.051,6
USDJPY,2019-09-01 20:29:00,106.054,106.055,106.011,106.014,15
USDJPY,2019-09-01 20:30:00,106.055,106.055,106.055,106.055,1
USDJPY,2019-09-01 20:31:00,,,,,
USDJPY,2019-09-01 20:32:00,,,,,
USDJPY,2019-09-01 20:33:00,,,,,
USDJPY,2019-09-01 20:34:00,,,,,
USDJPY,2019-09-01 20:35:00,,,,,
USDJPY,2019-09-01 20:36:00,106.050,106.054,106.050,106.054,3
USDJPY,2019-09-01 20:37:00,106.055,106.068,106.044,106.068,23
USDJPY,2019-09-01 20:38:00,106.050,106.068,106.050,106.068,3
USDJPY,2019-09-01 20:39:00,106.050,106.050,106.050,106.050,1
USDJPY,2019-09-01 20:40:00,106.068,106.068,106.068,106.068,1
USDJPY,2019-09-01 20:41:00,,,,,
USDJPY,2019-09-01 20:42:00,106.030,106.053,106.029,106.053,6
USDJPY,2019-09-01 20:43:00,106.064,106.068,106.064,106.068,2
USDJPY,2019-09-01 20:44:00,106.048,106.068,106.010,106.010,4
USDJPY,2019-09-01 20:45:00,106.013,106.068,106.013,106.055,9
USDJPY,2019-09-01 20:46:00,106.073,106.073,106.036,106.073,4
USDJPY,2019-09-01 20:47:00,106.059,106.068,106.050,106.053,8
USDJPY,2019-09-01 20:48:00,106.064,106.068,106.064,106.068,2
USDJPY,2019-09-01 20:49:00,,,,,
USDJPY,2019-09-01 20:50:00,,,,,
USDJPY,2019-09-01 20:51:00,106.037,106.037,106.037,106.037,2
USDJPY,2019-09-01 20:52:00,106.041,106.041,106.041,106.041,4
USDJPY,2019-09-01 20:53:00,106.037,106.062,106.033,106.062,3
USDJPY,2019-09-01 20:54:00,,,,,
USDJPY,2019-09-01 20:55:00,,,,,
USDJPY,2019-09-01 20:56:00,,,,,
USDJPY,2019-09-01 20:57:00,,,,,
USDJPY,2019-09-01 20:58:00,105.979,105.979,105.979,105.979,1
USDJPY,2019-09-01 20:59:00,106.062,106.062,106.033,106.033,3
USDJPY,2019-09-01 21:00:00,106.028,106.062,105.979,105.980,15
USDJPY,2019-09-01 21:01:00,105.987,106.032,105.987,106.029,28
USDJPY,2019-09-01 21:02:00,106.026,106.026,106.022,106.022,4
USDJPY,2019-09-01 21:03:00,106.035,106.035,106.035,106.035,1
USDJPY,2019-09-01 21:04:00,106.065,106.065,106.027,106.027,8
USDJPY,2019-09-01 21:05:00,106.021,106.065,106.008,106.044,36
USDJPY,2019-09-01 21:06:00,106.058,106.063,106.036,106.054,20
USDJPY,2019-09-01 21:07:00,106.052,106.062,105.976,106.056,64
USDJPY,2019-09-01 21:08:00,106.057,106.062,106.014,106.050,67
USDJPY,2019-09-01 21:09:00,106.049,106.052,106.041,106.052,28
USDJPY,2019-09-01 21:10:00,106.051,106.055,106.035,106.050,52
USDJPY,2019-09-01 21:11:00,106.049,106.053,106.042,106.052,32
USDJPY,2019-09-01 21:12:00,106.049,106.063,106.020,106.048,90
USDJPY,2019-09-01 21:13:00,106.057,106.057,105.982,106.042,98
USDJPY,2019-09-01 21:14:00,106.041,106.045,106.022,106.041,43
USDJPY,2019-09-01 21:15:00,106.042,106.049,105.995,106.033,52
