EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
XRPUSD,2019-08-01 00:00:00,0.3179,0.3179,0.3177,0.3177,3
XRPUSD,2019-08-01 00:01:00,0.3178,0.3178,0.3176,0.3176,5
XRPUSD,2019-08-01 00:02:00,0.3175,0.3176,0.3170,0.3170,8
XRPUSD,2019-08-01 00:03:00,0.3169,0.3171,0.3169,0.3171,5
XRPUSD,2019-08-01 00:04:00,0.3172,0.3172,0.3171,0.3172,9
XRPUSD,2019-08-01 00:05:00,0.3171,0.3172,0.3171,0.3172,6
XRPUSD,2019-08-01 00:06:00,0.3171,0.3175,0.3171,0.3175,10
XRPUSD,2019-08-01 00:07:00,0.3176,0.3176,0.3174,0.3175,8
XRPUSD,2019-08-01 00:08:00,0.3174,0.3176,0.3174,0.3176,7
XRPUSD,2019-08-01 00:09:00,0.3177,0.3180,0.3175,0.3175,35
XRPUSD,2019-08-01 00:10:00,0.3176,0.3177,0.3173,0.3173,21
XRPUSD,2019-08-01 00:11:00,0.3172,0.3173,0.3171,0.3171,4
XRPUSD,2019-08-01 00:12:00,0.3172,0.3172,0.3171,0.3171,4
XRPUSD,2019-08-01 00:13:00,0.3172,0.3172,0.3169,0.3169,4
XRPUSD,2019-08-01 00:14:00,0.3170,0.3170,0.3169,0.3169,12
XRPUSD,2019-08-01 00:15:00,0.3168,0.3168,0.3168,0.3168,1
XRPUSD,2019-08-01 00:16:00,0.3169,0.3169,0.3166,0.3166,4
XRPUSD,2019-08-01 00:17:00,0.3167,0.3167,0.3163,0.3164,10
XRPUSD,2019-08-01 00:18:00,0.3163,0.3163,0.3161,0.3163,10
XRPUSD,2019-08-01 00:19:00,0.3162,0.3166,0.3162,0.3165,8
XRPUSD,2019-08-01 00:20:00,0.3166,0.3167,0.3164,0.3164,17
XRPUSD,2019-08-01 00:21:00,0.3163,0.3165,0.3163,0.3163,17
XRPUSD,2019-08-01 00:22:00,0.3164,0.3164,0.3164,0.3164,1
XRPUSD,2019-08-01 00:23:00,0.3165,0.3165,0.3164,0.3164,2
XRPUSD,2019-08-01 00:24:00,0.3163,0.3164,0.3163,0.3163,3
XRPUSD,2019-08-01 00:25:00,0.3164,0.3164,0.3163,0.3163,2
XRPUSD,2019-08-01 00:26:00,0.3162,0.3164,0.3162,0.3163,6
XRPUSD,2019-08-01 00:27:00,0.3162,0.3163,0.3162,0.3163,10
XRPUSD,2019-08-01 00:28:00,0.3162,0.3163,0.3162,0.3163,8
XRPUSD,2019-08-01 00:29:00,0.3164,0.3164,0.3164,0.3164,1
XRPUSD,2019-08-01 00:30:00,0.3165,0.3165,0.3163,0.3163,5
XRPUSD,2019-08-01 00:31:00,0.3164,0.3165,0.3162,0.3163,14
XRPUSD,2019-08-01 00:32:00,0.3162,0.3164,0.3162,0.3164,5
XRPUSD,2019-08-01 00:33:00,0.3163,0.3164,0.3163,0.3164,4
XRPUSD,2019-08-01 00:34:00,,,,,
XRPUSD,2019-08-01 00:35:00,0.3165,0.3165,0.3164,0.3165,15
XRPUSD,2019-08-01 00:36:00,0.3164,0.3165,0.3163,0.3164,11
XRPUSD,2019-08-01 00:37:00,0.3165,0.3165,0.3164,0.3164,8
XRPUSD,2019-08-01 00:38:00,0.3165,0.3165,0.3164,0.3164,4
XRPUSD,2019-08-01 00:39:00,0.3165,0.3165,0.3165,0.3165,1
XRPUSD,2019-08-01 00:40:00,,,,,
XRPUSD,2019-08-01 00:41:00,0.3167,0.3167,0.3166,0.3166,2
XRPUSD,2019-08-01 00:42:00,0.3165,0.3165,0.3165,0.3165,1
XRPUSD,2019-08-01 00:43:00,0.3164,0.3164,0.3164,0.3164,1
XRPUSD,2019-08-01 00:44:00,0.3165,0.3165,0.3165,0.3165,1
XRPUSD,2019-08-01 00:45:00,0.3164,0.3164,0.3162,0.3162,5
XRPUSD,2019-08-01 00:46:00,0.3163,0.3163,0.3162,0.3163,5
XRPUSD,2019-08-01 00:47:00,0.3165,0.3165,0.3163,0.3163,7
XRPUSD,2019-08-01 00:48:00,0.3164,0.3164,0.3164,0.3164,1
XRPUSD,2019-08-01 00:49:00,0.3166,0.3167,0.3166,0.3166,3
XRPUSD,2019-08-01 00:50:00,,,,,
XRPUSD,2019-08-01 00:51:00,0.3165,0.3166,0.3165,0.3165,5
XRPUSD,2019-08-01 00:52:00,0.3164,0.3164,0.3163,0.3163,2
XRPUSD,2019-08-01 00:53:00,0.3162,0.3163,0.3162,0.3162,3
XRPUSD,2019-08-01 00:54:00,,,,,
XRPUSD,2019-08-01 00:55:00,0.3163,,,0.3162,6
XRPUSD,2019-08-01 00:56:00,0.3161,0.3161,0.3160,0.3160,2
XRPUSD,2019-08-01 00:57:00,0.3159,0.3159,0.3158,0.3158,4
XRPUSD,2019-08-01 00:58:00,0.3159,0.3159,0.3156,0.3156,8
XRPUSD,2019-08-01 00:59:00,0.3157,0.3157,0.3155,0.3155,4
XRPUSD,2019-08-01 01:00:00,,,,,
XRPUSD,2019-08-01 01:01:00,0.3156,0.3157,0.3155,0.3157,4
XRPUSD,2019-08-01 01:02:00,0.3158,0.3158,0.3157,0.3157,4
XRPUSD,2019-08-01 01:03:00,,,,,
XRPUSD,2019-08-01 01:04:00,,,,,
XRPUSD,2019-08-01 01:05:00,0.3156,0.3156,0.3156,0.3156,1
XRPUSD,2019-08-01 01:06:00,0.3155,0.3155,0.3155,0.3155,1
XRPUSD,2019-08-01 01:07:00,0.3156,0.3156,0.3155,0.3155,2
XRPUSD,2019-08-01 01:08:00,0.3157,0.3157,0.3156,0.3156,4
XRPUSD,2019-08-01 01:09:00,0.3155,0.3155,0.3155,0.3155,1
XRPUSD,2019-08-01 01:10:00,0.3154,0.3155,0.3154,0.3154,3
XRPUSD,2019-08-01 01:11:00,0.3155,0.3155,0.3155,0.3155,1
XRPUSD,2019-08-01 01:12:00,0.3154,0.3155,0.3154,0.3155,2
XRPUSD,2019-08-01 01:13:00,0.3154,0.3155,0.3154,0.3154,5
XRPUSD,2019-08-01 01:14:00,0.3155,0.3155,0.3154,0.3154,2
XRPUSD,2019-08-01 01:15:00,0.3153,0.3154,0.3152,0.3153,11
XRPUSD,2019-08-01 01:16:00,0.3152,0.3152,0.3152,0.3152,1
XRPUSD,2019-08-01 01:17:00,0.3151,0.3153,0.3151,0.3152,4
XRPUSD,2019-08-01 01:18:00,0.3153,0.3153,0.3152,0.3153,5
XRPUSD,2019-08-01 01:19:00,0.3154,0.3154,0.3153,0.3154,9
XRPUSD,2019-08-01 01:20:00,0.3155,0.3155,0.3155,0.3155,1
XRPUSD,2019-08-01 01:21:00,0.3154,0.3154,0.3154,0.3154,1
XRPUSD,2019-08-01 01:22:00,0.3153,0.3154,0.3153,0.3154,2
XRPUSD,2019-08-01 01:23:00,,,,,
XRPUSD,2019-08-01 01:24:00,,,,,
XRPUSD,2019-08-01 01:25:00,,,,,
XRPUSD,2019-08-01 01:26:00,,,,,
XRPUSD,2019-08-01 01:27:00,,0.3154,,0.3154,22
XRPUSD,2019-08-01 01:28:00,,,,,
XRPUSD,2019-08-01 01:29:00,,0.3154,,0.3153,7
XRPUSD,2019-08-01 01:30:00,,,,,
XRPUSD,2019-08-01 01:31:00,0.3152,0.3153,0.3150,0.3150,9
XRPUSD,2019-08-01 01:32:00,0.3151,0.3152,0.3150,0.3151,11
